Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,5758|2818|1424|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,5758|2818|1424|,nan|nan|nan|,nan|nan|nan|,0|5758|4242|,0|0|0|,28503|5758|4242|,0|0|0|,7149|1675|1179|,0|0|0|,0|0|0|,7149|1675|1179|,0|0|0|,0|0|0|,7025|1647|1155|,159|97|468|,0|0|0|
1,0|1|2|,6866|1550|687|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,6866|1550|687|,nan|nan|nan|,nan|nan|nan|,0|6866|2237|,0|0|0|,15252|6866|2237|,0|0|0|,5609|3403|985|,0|0|0|,0|0|0|,5609|3403|985|,0|0|0|,0|0|0|,5514|3347|968|,107|173|372|,0|0|0|
2,0|1|2|,5407|3174|596|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,5407|3174|596|,nan|nan|nan|,nan|nan|nan|,0|5407|3770|,0|0|0|,31171|5407|3770|,0|0|0|,7162|1847|992|,0|0|0|,0|0|0|,7162|1847|992|,0|0|0|,0|0|0|,7035|1811|968|,126|86|383|,0|0|0|
3,0|1|2|,6909|1725|585|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,6909|1725|585|,nan|nan|nan|,nan|nan|nan|,0|6909|2310|,0|0|0|,17378|6909|2310|,0|0|0|,5479|3585|914|,0|0|0|,0|0|0|,5479|3585|914|,0|0|0|,0|0|0|,5399|3542|892|,99|161|376|,0|0|0|
4,0|1|2|,5300|3381|516|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,5300|3381|516|,nan|nan|nan|,nan|nan|nan|,0|5300|3897|,0|0|0|,31819|5300|3897|,0|0|0|,7131|1917|945|,0|0|0|,0|0|0|,7131|1917|945|,0|0|0|,0|0|0|,6986|1879|928|,147|108|363|,0|0|0|
5,0|1|2|,6839|1771|565|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,6839|1771|565|,nan|nan|nan|,nan|nan|nan|,0|6839|2336|,0|0|0|,18120|6839|2336|,0|0|0|,5556|3522|837|,0|0|0|,0|0|0|,5556|3522|837|,0|0|0|,0|0|0|,5468|3485|827|,128|153|321|,0|0|0|
6,0|1|2|,5340|3332|506|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,5340|3332|506|,nan|nan|nan|,nan|nan|nan|,0|5340|3838|,0|0|0|,31601|5340|3838|,0|0|0|,7084|1969|948|,0|0|0|,0|0|0|,7084|1969|948|,0|0|0|,0|0|0|,6954|1936|939|,132|88|360|,0|0|0|
7,0|1|2|,6822|1848|579|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,6822|1848|579|,nan|nan|nan|,nan|nan|nan|,0|6822|2427|,0|0|0|,18024|6822|2427|,0|0|0|,5352|3687|905|,0|0|0|,0|0|0|,5352|3687|905|,0|0|0|,0|0|0|,5276|3639|893|,102|163|353|,0|0|0|
8,0|1|2|,5174|3476|540|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,5174|3476|540|,nan|nan|nan|,nan|nan|nan|,0|5174|4016|,0|0|0|,32369|5174|4016|,0|0|0|,6931|2060|1008|,0|0|0|,0|0|0|,6931|2060|1008|,0|0|0|,0|0|0|,6811|2039|988|,143|102|411|,0|0|0|
9,0|1|2|,6668|1937|577|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,6668|1937|577|,nan|nan|nan|,nan|nan|nan|,0|6668|2514|,0|0|0|,18608|6668|2514|,0|0|0|,5435|3645|868|,0|0|0|,0|0|0|,5435|3645|868|,0|0|0|,0|0|0|,5367|3593|855|,110|173|347|,0|0|0|
10,0|1|2|,5257|3420|508|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,5257|3420|508|,nan|nan|nan|,nan|nan|nan|,0|5257|3928|,0|0|0|,32950|5257|3928|,0|0|0|,6791|2150|1042|,0|0|0|,0|0|0|,6791|2150|1042|,0|0|0|,0|0|0|,6667|2113|1027|,132|106|434|,0|0|0|
