Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,400.0|100.0|100.0|100.0|100.0|,0.91,400|100|100|100|100|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,201|56|53|46|46|,199|44|47|54|54|,0|0|0|0|0|,0|0|0|0|0|,87|26|22|22|17|,77|20|21|16|20|,0|0|0|0|0|,0|0|0|0|0|,164,236,87,1106|250|312|180|364|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1506|350|412|280|464|,1106|250|312|180|364|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,11.0|7.0|0|0|4.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,389|100|94|95|100|,25|8|7|7|3|,364|92|87|88|97|,4|4|4|4|4|,0.4995984375|0.4992|0.49915|0.49|0.4997750000000001|,0.50625|0.5|0.46|0.51|0.555|,0.52,0.48,0.49875,0.50125,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400|100|100|100|100|,92|87|88|97|,0|0|0|0|,0|0|0|0|,0|0|0|0|,41|30|35|37|,0|0|0|0|,11,6,9,32,15,14
1,400.0|100.0|100.0|100.0|100.0|,0.967032967032967,364|92|87|88|97|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,179|47|44|35|53|,185|45|43|53|44|,0|0|0|0|0|,0|0|0|0|0|,34|10|8|10|6|,38|9|8|14|7|,0|0|0|0|0|,0|0|0|0|0|,72,292,34,601|116|102|113|270|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,965|208|189|201|367|,565|108|89|101|267|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,20.0|0|9.0|11.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,380|98|100|100|82|,28|6|5|12|5|,352|92|95|88|77|,4|4|4|4|4|,0.4919752294408888|0.48744683364839325|0.47833267274408775|0.4883135330578512|0.4855457540652568|,0.5343406593406593|0.4945652173913043|0.5632183908045977|0.5340909090909091|0.5463917525773195|,0.5521978021978022,0.4478021978021978,0.5728021978021978,0.4271978021978022,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364|92|87|88|97|,92|95|88|77|,0|0|0|0|,0|0|0|0|,0|0|0|0|,29|28|34|26|,0|0|0|0|,1,3,2,5,12,11
2,400.0|100.0|100.0|100.0|100.0|,1.0426136363636365,352|92|95|88|77|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,190|48|46|50|46|,162|44|49|38|31|,0|0|0|0|0|,0|0|0|0|0|,69|18|24|11|16|,50|18|17|12|3|,0|0|0|0|0|,0|0|0|0|0|,119,233,69,1152|266|461|91|334|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1504|358|556|179|411|,1104|258|456|79|311|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,11.0|0|0|11.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,389|92|97|100|100|,22|5|5|5|7|,367|87|92|95|93|,4|4|4|4|4|,0.486885007747934|0.49616020793950855|0.4888919667590028|0.4796939566115702|0.44897959183673475|,0.4744318181818182|0.5|0.48947368421052634|0.48295454545454547|0.4155844155844156|,0.5454545454545454,0.45454545454545453,0.6051136363636364,0.39488636363636365,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352|92|95|88|77|,87|92|95|93|,0|0|0|0|,0|0|0|0|,0|0|0|0|,31|42|32|42|,0|0|0|0|,7,8,3,19,14,18
3,400.0|100.0|100.0|100.0|100.0|,0.9618528610354223,367|87|92|95|93|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,205|48|53|49|55|,162|39|39|46|38|,0|0|0|0|0|,0|0|0|0|0|,45|10|6|20|9|,43|9|6|19|9|,0|0|0|0|0|,0|0|0|0|0|,88,279,45,629|108|19|367|135|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,996|195|111|462|228|,596|95|11|362|128|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,16.0|0|16.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,384|93|100|100|91|,31|6|7|8|10|,353|87|93|92|81|,4|4|4|4|4|,0.47867494747158257|0.48810939357907257|0.48062381852551983|0.48775623268698054|0.421927390449763|,0.4536784741144414|0.4827586206896552|0.45652173913043476|0.49473684210526314|0.3817204301075269|,0.5749318801089919,0.4250681198910082,0.6253405994550408,0.3746594005449591,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367|87|92|95|93|,87|93|92|81|,0|0|0|0|,0|0|0|0|,0|0|0|0|,24|20|33|19|,0|0|0|0|,6,3,0,23,6,7
4,400.0|100.0|100.0|100.0|100.0|,1.0396600566572238,353|87|93|92|81|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,188|47|55|47|39|,165|40|38|45|42|,0|0|0|0|0|,0|0|0|0|0|,90|21|37|11|21|,69|19|29|9|12|,0|0|0|0|0|,0|0|0|0|0|,159,194,90,1656|517|755|115|269|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2009|604|848|207|350|,1609|504|748|107|250|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,11.0|0|0|10.0|1.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,389|94|95|100|100|,22|5|4|8|5|,367|89|91|92|95|,4|4|4|4|4|,0.45963975314784644|0.4892654247588849|0.4745346282807261|0.45164815689981097|0.38645023624447494|,0.4660056657223796|0.5459770114942529|0.43548387096774194|0.5054347826086957|0.37037037037037035|,0.6048158640226629,0.3951841359773371,0.6713881019830028,0.3286118980169972,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353|87|93|92|81|,89|91|92|95|,0|0|0|0|,0|0|0|0|,0|0|0|0|,45|42|34|38|,0|0|0|0|,10,9,2,25,24,20
5,400.0|100.0|100.0|100.0|100.0|,0.9100817438692098,367|89|91|92|95|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,186|47|44|51|44|,181|42|47|41|51|,0|0|0|0|0|,0|0|0|0|0|,37|3|5|21|8|,31|4|0|14|13|,0|0|0|0|0|,0|0|0|0|0|,68,299,31,501|198|0|294|9|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,868|287|91|386|104|,477|187|0|286|4|,0|0|0|0|0|,0|0|0|0|0|,391|100|91|100|100|,0|0|0|0|0|,391|100|91|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,24.0|0|7.0|0|17.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,367|90|100|77|100|,33|6|9|8|10|,334|84|91|69|90|,4|4|4|4|4|,0.48060717653260476|0.48705971468248965|0.4865656321700278|0.4713492438563327|0.44844875346260393|,0.49591280653950953|0.5280898876404494|0.47802197802197804|0.4891304347826087|0.48947368421052634|,0.5708446866485014,0.42915531335149865,0.6198910081743869,0.3801089918256131,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367|89|91|92|95|,84|91|69|90|,0|0|0|0|,0|0|0|0|,0|0|0|0|,19|15|14|19|,0|0|0|0|,2,10,0,14,1,4
6,400.0|100.0|100.0|100.0|100.0|,1.092814371257485,334|84|91|69|90|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,159|47|43|29|40|,175|37|48|40|50|,0|0|0|0|0|,0|0|0|0|0|,91|20|36|6|29|,95|8|40|5|42|,0|0|0|0|0|,0|0|0|0|0|,186,148,91,2259|562|942|195|560|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2593|646|1033|264|650|,2193|546|933|164|550|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,13.0|2.0|0|8.0|3.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,387|100|87|100|100|,22|5|3|6|8|,365|95|84|94|92|,4|4|4|4|4|,0.45189635698662556|0.46244331065759636|0.47932013041903154|0.41755933627389197|0.4270987654320988|,0.4505988023952096|0.4642857142857143|0.46703296703296704|0.42028985507246375|0.4444444444444444|,0.6482035928143712,0.35179640718562877,0.6616766467065869,0.3383233532934132,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334|84|91|69|90|,95|84|94|92|,0|0|0|0|,0|0|0|0|,0|0|0|0|,45|41|37|37|,0|0|0|0|,8,8,2,37,17,19
7,400.0|100.0|100.0|100.0|100.0|,0.936986301369863,365|95|84|94|92|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,177|40|37|50|50|,188|55|47|44|42|,0|0|0|0|0|,0|0|0|0|0|,22|6|2|10|4|,19|3|2|10|4|,0|0|0|0|0|,0|0|0|0|0|,41,324,22,248|87|0|130|31|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,613|182|84|224|123|,229|82|0|124|23|,0|0|0|0|0|,0|0|0|0|0|,384|100|84|100|100|,0|0|0|0|0|,384|100|84|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,14.0|5.0|0|0|9.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,370|100|93|77|100|,28|8|8|7|5|,342|92|85|70|95|,4|4|4|4|4|,0.4825858510039407|0.484819944598338|0.4879535147392291|0.46689678587596195|0.4737121928166351|,0.4986301369863014|0.47368421052631576|0.5119047619047619|0.48936170212765956|0.5217391304347826|,0.5986301369863014,0.40136986301369865,0.5876712328767123,0.4123287671232877,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365|95|84|94|92|,92|85|70|95|,0|0|0|0|,0|0|0|0|,0|0|0|0|,27|9|13|15|,0|0|0|0|,3,4,1,6,3,5
8,400.0|100.0|100.0|100.0|100.0|,1.043859649122807,342|92|85|70|95|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,176|45|41|39|51|,166|47|44|31|44|,0|0|0|0|0|,0|0|0|0|0|,106|19|35|18|34|,111|24|41|16|30|,0|0|0|0|0|,0|0|0|0|0|,217,125,106,2093|275|720|425|673|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2435|367|805|495|768|,2035|267|705|395|668|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,21.0|0|0|14.0|7.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,379|96|83|100|100|,22|6|7|0|9|,357|90|76|100|91|,4|4|4|4|4|,0.46670556752505044|0.47515949905482036|0.48197231833910037|0.4415816326530613|0.4467036011080333|,0.4722222222222222|0.42934782608695654|0.48823529411764705|0.5071428571428571|0.47368421052631576|,0.6008771929824561,0.3991228070175439,0.652046783625731,0.347953216374269,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342|92|85|70|95|,90|76|100|91|,0|0|0|0|,0|0|0|0|,0|0|0|0|,39|42|53|45|,0|0|0|0|,7,12,5,40,14,28
9,400.0|100.0|100.0|100.0|100.0|,1.0,357|90|76|100|91|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,173|43|37|53|40|,184|47|39|47|51|,0|0|0|0|0|,0|0|0|0|0|,24|11|3|6|4|,13|5|1|3|4|,0|0|0|0|0|,0|0|0|0|0|,37,320,24,317|214|56|0|47|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,674|304|132|100|138|,274|204|32|0|38|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,22.0|0|4.0|18.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,378|83|100|100|95|,21|5|4|6|6|,357|78|96|94|89|,4|4|4|4|4|,0.4738620938571507|0.4668827160493827|0.4912569252077563|0.46067499999999995|0.4738860041057843|,0.47198879551820727|0.48333333333333334|0.4473684210526316|0.415|0.5439560439560439|,0.5938375350140056,0.4061624649859944,0.6316526610644257,0.36834733893557425,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357|90|76|100|91|,78|96|94|89|,0|0|0|0|,0|0|0|0|,0|0|0|0|,16|21|15|12|,0|0|0|0|,3,8,0,7,2,4
