Year,1,2,3
0,35.38461538461539,35.38461538461539,29.230769230769234
1,30.508474576271187,35.59322033898305,33.89830508474576
2,24.242424242424242,36.36363636363637,39.39393939393939
3,31.03448275862069,39.6551724137931,29.310344827586203
4,27.450980392156865,45.09803921568628,27.450980392156865
5,30.434782608695656,39.130434782608695,30.434782608695656
6,25.0,44.44444444444444,30.555555555555557
7,25.71428571428571,31.428571428571427,42.857142857142854
8,13.793103448275861,13.793103448275861,72.41379310344827
9,0.0,0.0,100.0
