Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,400.0|100.0|100.0|100.0|100.0|,0.89,400|100|100|100|100|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,203|54|49|48|52|,197|46|51|52|48|,0|0|0|0|0|,0|0|0|0|0|,93|22|20|27|24|,86|20|25|21|20|,0|0|0|0|0|,0|0|0|0|0|,179,221,93,1075|263|247|169|396|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1475|363|347|269|496|,1075|263|247|169|396|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,22.0|3.0|0|19.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,378|100|92|100|86|,22|6|7|6|3|,356|94|85|94|83|,4|4|4|4|4|,0.4995859375|0.49897499999999995|0.49707499999999993|0.4997750000000001|0.49950000000000006|,0.47875|0.445|0.505|0.475|0.49|,0.50375,0.49625,0.52,0.48,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400|100|100|100|100|,94|85|94|83|,0|0|0|0|,0|0|0|0|,0|0|0|0|,73|64|72|65|,0|0|0|0|,13,11,8,23,21,17
1,400.0|100.0|100.0|100.0|100.0|,0.9662921348314607,356|94|85|94|83|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,188|50|44|50|44|,168|44|41|44|39|,0|0|0|0|0|,0|0|0|0|0|,41|10|12|12|7|,41|11|9|10|11|,0|0|0|0|0|,0|0|0|0|0|,82,274,41,740|213|69|423|35|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1096|307|154|517|118|,696|207|54|417|18|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,21.0|0|8.0|0|13.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,379|94|100|85|100|,35|7|9|6|13|,344|87|91|79|87|,4|4|4|4|4|,0.4990275059967175|0.4985287460389316|0.498166089965398|0.49419986419194206|0.4957541007403107|,0.4452247191011236|0.39361702127659576|0.6058823529411764|0.34574468085106386|0.45180722891566266|,0.5042134831460674,0.4957865168539326,0.4691011235955056,0.5308988764044944,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356|94|85|94|83|,87|91|79|87|,0|0|0|0|,0|0|0|0|,0|0|0|0|,64|45|57|36|,0|0|0|0|,6,2,2,8,13,10
2,400.0|100.0|100.0|100.0|100.0|,1.058139534883721,344|87|91|79|87|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,173|43|44|38|48|,171|44|47|41|39|,0|0|0|0|0|,0|0|0|0|0|,77|15|23|12|27|,65|8|23|10|24|,0|0|0|0|0|,0|0|0|0|0|,142,202,77,1454|428|294|255|477|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,1798|515|385|334|564|,1398|415|285|234|464|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,22.0|0|7.0|15.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,378|90|100|100|88|,14|4|3|4|3|,364|86|97|96|85|,4|4|4|4|4|,0.49862679150892375|0.4970603778570485|0.4948979591836735|0.498357634994392|0.4998348526885982|,0.5261627906976745|0.5114942528735632|0.5879120879120879|0.47468354430379744|0.5229885057471264|,0.4636627906976744,0.5363372093023255,0.5072674418604651,0.49273255813953487,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344|87|91|79|87|,86|97|96|85|,0|0|0|0|,0|0|0|0|,0|0|0|0|,71|79|76|75|,0|0|0|0|,11,6,3,19,21,17
3,400.0|100.0|100.0|100.0|100.0|,0.9642857142857143,364|86|97|96|85|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,194|46|53|44|51|,170|40|44|52|34|,0|0|0|0|0|,0|0|0|0|0|,30|8|11|5|6|,33|7|7|15|4|,0|0|0|0|0|,0|0|0|0|0|,63,301,30,274|33|139|22|80|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,638|119|236|118|165|,238|19|136|18|65|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,16.0|0|0|16.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,384|100|91|100|93|,33|14|5|10|4|,351|86|86|90|89|,4|4|4|4|4|,0.49730369218693393|0.4946930773391023|0.49837921139334673|0.49148220486111116|0.48737024221453285|,0.5096153846153846|0.48255813953488375|0.5309278350515464|0.46875|0.5588235294117647|,0.5412087912087912,0.45879120879120877,0.5315934065934066,0.4684065934065934,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364|86|97|96|85|,86|86|90|89|,0|0|0|0|,0|0|0|0|,0|0|0|0|,25|51|31|40|,0|0|0|0|,3,1,4,8,5,9
4,400.0|100.0|100.0|100.0|100.0|,1.0341880341880343,351|86|86|90|89|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,176|42|47|44|43|,175|44|39|46|46|,0|0|0|0|0|,0|0|0|0|0|,105|29|19|29|28|,99|32|16|30|21|,0|0|0|0|0|,0|0|0|0|0|,204,147,105,1707|505|318|438|446|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2058|591|404|528|535|,1658|491|304|428|435|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,10.0|0|3.0|0|7.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,390|92|100|98|100|,27|7|7|5|8|,363|85|93|93|92|,4|4|4|4|4|,0.48696236231848766|0.48992698756084363|0.48999459167117365|0.4702160493827161|0.4893321550309304|,0.49715099715099714|0.4418604651162791|0.5465116279069767|0.46111111111111114|0.5393258426966292|,0.5740740740740741,0.42592592592592593,0.5868945868945868,0.4131054131054131,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351|86|86|90|89|,85|93|93|92|,0|0|0|0|,0|0|0|0|,0|0|0|0|,77|74|80|78|,0|0|0|0|,18,11,4,24,22,26
5,400.0|100.0|100.0|100.0|100.0|,0.931129476584022,363|85|93|93|92|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,185|36|50|51|48|,178|49|43|42|44|,0|0|0|0|0|,0|0|0|0|0|,25|1|9|7|8|,29|7|10|6|6|,0|0|0|0|0|,0|0|0|0|0|,54,309,25,243|0|151|39|53|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,606|85|244|132|145|,221|0|144|32|45|,0|0|0|0|0|,0|0|0|0|0|,385|85|100|100|100|,0|0|0|0|0|,385|85|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,21.0|20.0|0|1.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,364|100|68|100|96|,26|6|7|5|8|,338|94|61|95|88|,4|4|4|4|4|,0.4907375786414103|0.4963321799307958|0.48953636258527|0.48262804948548965|0.47964910207939504|,0.5399449035812672|0.6|0.5376344086021505|0.553763440860215|0.47282608695652173|,0.5151515151515151,0.48484848484848486,0.5950413223140496,0.4049586776859504,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363|85|93|93|92|,94|61|95|88|,0|0|0|0|,0|0|0|0|,0|0|0|0|,33|29|29|32|,0|0|0|0|,3,5,1,7,4,5
6,400.0|100.0|100.0|100.0|100.0|,1.0532544378698225,338|94|61|95|88|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,170|42|33|48|47|,168|52|28|47|41|,0|0|0|0|0|,0|0|0|0|0|,105|26|20|31|28|,110|35|12|35|28|,0|0|0|0|0|,0|0|0|0|0|,215,123,105,2172|547|326|732|567|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2510|641|387|827|655|,2110|541|287|727|555|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,28.0|0|14.0|0|14.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,372|89|100|83|100|,16|5|1|6|4|,356|84|99|77|96|,4|4|4|4|4|,0.4761869332306292|0.47032028066998643|0.470908357968288|0.4777839335180055|0.46584452479338845|,0.4940828402366864|0.526595744680851|0.5163934426229508|0.49473684210526314|0.4431818181818182|,0.5754437869822485,0.4245562130177515,0.6346153846153846,0.36538461538461536,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338|94|61|95|88|,84|99|77|96|,0|0|0|0|,0|0|0|0|,0|0|0|0|,74|86|66|88|,0|0|0|0|,12,6,3,30,20,34
7,400.0|100.0|100.0|100.0|100.0|,0.9634831460674157,356|84|99|77|96|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,174|37|46|44|47|,182|47|53|33|49|,0|0|0|0|0|,0|0|0|0|0|,15|2|4|5|4|,27|8|9|6|4|,0|0|0|0|0|,0|0|0|0|0|,42,314,15,151|20|65|38|28|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,507|104|164|115|124|,107|4|64|15|24|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,24.0|21.0|0|0|3.0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,376|100|83|93|100|,33|7|7|9|10|,343|93|76|84|90|,4|4|4|4|4|,0.4964867914404747|0.49387046485260777|0.4930619324558718|0.4912295496711081|0.49782986111111116|,0.4789325842696629|0.48214285714285715|0.47474747474747475|0.4805194805194805|0.4791666666666667|,0.547752808988764,0.45224719101123595,0.5351123595505618,0.4648876404494382,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356|84|99|77|96|,93|76|84|90|,0|0|0|0|,0|0|0|0|,0|0|0|0|,34|25|28|27|,0|0|0|0|,1,1,0,4,6,3
8,400.0|100.0|100.0|100.0|100.0|,1.075801749271137,343|93|76|84|90|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,168|43|35|43|47|,175|50|41|41|43|,0|0|0|0|0|,0|0|0|0|0|,118|30|24|30|34|,111|29|27|26|29|,0|0|0|0|0|,0|0|0|0|0|,229,114,118,2067|425|391|584|667|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,2410|518|467|668|757|,2010|418|367|568|657|,0|0|0|0|0|,0|0|0|0|0|,401|100|101|100|100|,0|0|0|0|0|,401|100|101|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,10.0|0|10.0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,391|99|100|97|95|,22|8|7|6|1|,369|91|93|91|94|,4|4|4|4|4|,0.49754354053158123|0.4981211700774656|0.49982686980609414|0.49273667800453513|0.49450617283950615|,0.4489795918367347|0.5|0.4473684210526316|0.4226190476190476|0.4222222222222222|,0.5495626822157434,0.45043731778425655,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343|93|76|84|90|,91|93|91|94|,0|0|0|0|,0|0|0|0|,0|0|0|0|,79|75|84|83|,0|0|0|0|,15,5,5,29,35,29
9,400.0|100.0|100.0|100.0|100.0|,0.94579945799458,369|91|93|91|94|,0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|,180|46|45|41|48|,189|45|48|50|46|,0|0|0|0|0|,0|0|0|0|0|,23|6|7|4|6|,25|6|11|3|5|,0|0|0|0|0|,0|0|0|0|0|,48,321,23,298|96|47|61|94|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,667|187|140|152|188|,267|87|40|52|88|,0|0|0|0|0|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|0|,400|100|100|100|100|,0|0|0|0|,0|0|0|0|0|,0|0|0|0|0|,400.0|100.0|100.0|100.0|100.0|,24.0|0|21.0|3.0|0|,0|0|0|0|0|,0|0|0|0|0|,0|0|0|0|,376|90|100|100|86|,27|8|8|4|7|,349|82|92|96|79|,4|4|4|4|4|,0.4980868236866651|0.49622630117135613|0.4982367903803908|0.4982490037435092|0.4963218650973291|,0.5094850948509485|0.489010989010989|0.5|0.5164835164835165|0.5319148936170213|,0.5121951219512195,0.4878048780487805,0.5420054200542005,0.45799457994579945,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369|91|93|91|94|,82|92|96|79|,0|0|0|0|,0|0|0|0|,0|0|0|0|,36|46|39|38|,0|0|0|0|,2,2,0,13,3,3
