Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,300.0|100.0|100.0|100.0|,0.93,300|100|100|100|,0.0|0.0|0.0|,0.0|0.0|0.0|,156|53|49|54|,144|47|51|46|,0|0|0|0|,0|0|0|0|,65|20|18|27|,62|19|25|18|,0|0|0|0|,0|0|0|0|,127,173,65,793|296|270|227|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1093|396|370|327|,793|296|270|227|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,4.0|1.0|3.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,296|100|100|96|,17|3|8|6|,279|97|92|90|,4|4|4|4|,0.49839444444444436|0.4996750000000001|0.49549999999999994|0.4981749999999999|,0.51|0.505|0.54|0.485|,0.5383333333333333,0.46166666666666667,0.48833333333333334,0.5116666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300|100|100|100|,97|92|90|,0|0|0|,0|0|0|,0|0|0|,7|9|7|,0|0|0|,10,6,1,18,9,21
1,300.0|100.0|100.0|100.0|,0.989247311827957,279|97|92|90|,0.0|0.0|0.0|,0.0|0.0|0.0|,139|47|42|50|,140|50|50|40|,0|0|0|0|,0|0|0|0|,39|16|13|10|,29|6|13|10|,0|0|0|0|,0|0|0|0|,68,211,39,490|234|100|156|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,769|331|192|246|,469|231|92|146|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,3.0|0|2.0|1.0|,0|0|0|0|,0|0|0|0|,0|0|0|,297|97|100|100|,21|5|8|8|,276|92|92|92|,4|4|4|4|,0.4981854035790907|0.4946859389945797|0.4854383270321361|0.4967901234567902|,0.5286738351254481|0.4948453608247423|0.47282608695652173|0.6222222222222222|,0.5394265232974911,0.460573476702509,0.4838709677419355,0.5161290322580645,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279|97|92|90|,92|92|92|,0|0|0|,0|0|0|,0|0|0|,8|11|11|,0|0|0|,3,3,4,10,11,8
2,300.0|100.0|100.0|100.0|,0.9818840579710145,276|92|92|92|,0.0|0.0|0.0|,0.0|0.0|0.0|,154|50|52|52|,122|42|40|40|,0|0|0|0|,0|0|0|0|,63|18|24|21|,48|19|16|13|,0|0|0|0|,0|0|0|0|,111,165,63,871|240|295|336|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1147|332|387|428|,847|232|287|328|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,8.0|0|8.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,292|98|100|94|,21|11|8|2|,271|87|92|92|,4|4|4|4|,0.49704631379962194|0.49276346880907373|0.4946833648393194|0.49949787334593576|,0.48188405797101447|0.41847826086956524|0.4673913043478261|0.5597826086956522|,0.5,0.5,0.44565217391304346,0.5543478260869565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276|92|92|92|,87|92|92|,0|0|0|,0|0|0|,0|0|0|,6|10|5|,0|0|0|,5,3,5,25,10,15
3,300.0|100.0|100.0|100.0|,1.03690036900369,271|87|92|92|,0.0|0.0|0.0|,0.0|0.0|0.0|,147|50|47|50|,124|37|45|42|,0|0|0|0|,0|0|0|0|,34|16|9|9|,25|10|6|9|,0|0|0|0|,0|0|0|0|,59,212,34,386|240|24|122|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,657|327|116|214|,357|227|16|114|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,7.0|7.0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|100|96|97|,12|4|6|2|,281|96|90|95|,4|4|4|4|,0.49483599079533225|0.48989298454221175|0.49961602079395084|0.4799149338374291|,0.45940959409594095|0.4367816091954023|0.483695652173913|0.45652173913043476|,0.5479704797047971,0.45202952029520294,0.44649446494464945,0.5535055350553506,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271|87|92|92|,96|90|95|,0|0|0|,0|0|0|,0|0|0|,10|11|10|,0|0|0|,2,3,3,9,9,8
4,300.0|100.0|100.0|100.0|,1.0,281|96|90|95|,0.0|0.0|0.0|,0.0|0.0|0.0|,158|64|45|49|,123|32|45|46|,0|0|0|0|,0|0|0|0|,69|19|32|18|,59|7|36|16|,0|0|0|0|,0|0|0|0|,128,153,69,1145|243|629|273|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1426|339|719|368|,1126|239|619|268|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,4.0|4.0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,296|100|99|97|,15|4|5|6|,281|96|94|91|,4|4|4|4|,0.49295538303719555|0.48757595486111116|0.4970061728395061|0.4773407202216067|,0.5177935943060499|0.4375|0.5611111111111111|0.5578947368421052|,0.5711743772241993,0.4288256227758007,0.4555160142348754,0.5444839857651246,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281|96|90|95|,96|94|91|,0|0|0|,0|0|0|,0|0|0|,12|8|8|,0|0|0|,14,11,3,24,9,8
5,300.0|100.0|100.0|100.0|,0.9928825622775801,281|96|94|91|,0.0|0.0|0.0|,0.0|0.0|0.0|,141|50|42|49|,140|46|52|42|,0|0|0|0|,0|0|0|0|,28|14|3|11|,23|8|6|9|,0|0|0|0|,0|0|0|0|,51,230,28,589|253|137|199|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,870|349|231|290|,570|249|131|190|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,4.0|0|4.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,296|99|100|97|,17|4|5|8|,279|95|95|89|,4|4|4|4|,0.4857366294753105|0.4877387152777778|0.4826844726120416|0.4847542567322787|,0.48576512455516013|0.4583333333333333|0.5106382978723404|0.489010989010989|,0.604982206405694,0.39501779359430605,0.4430604982206406,0.5569395017793595,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281|96|94|91|,95|95|89|,0|0|0|,0|0|0|,0|0|0|,10|11|9|,0|0|0|,2,4,3,9,6,4
6,300.0|100.0|100.0|100.0|,0.967741935483871,279|95|95|89|,0.0|0.0|0.0|,0.0|0.0|0.0|,157|55|53|49|,122|40|42|40|,0|0|0|0|,0|0|0|0|,50|14|17|19|,32|7|17|8|,0|0|0|0|,0|0|0|0|,82,197,50,726|155|263|308|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1005|250|358|397|,705|150|258|297|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,12.0|0|0|12.0|,0|0|0|0|,0|0|0|0|,0|0|0|,288|92|96|100|,18|4|7|7|,270|88|89|93|,4|4|4|4|,0.48349199008234733|0.4778116343490305|0.46088642659279777|0.4257353869460927|,0.4336917562724014|0.4473684210526316|0.4842105263157895|0.3651685393258427|,0.6182795698924731,0.3817204301075269,0.5501792114695341,0.449820788530466,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279|95|95|89|,88|89|93|,0|0|0|,0|0|0|,0|0|0|,10|11|20|,0|0|0|,6,7,3,13,10,11
7,300.0|100.0|100.0|100.0|,1.0,270|88|89|93|,0.0|0.0|0.0|,0.0|0.0|0.0|,133|43|43|47|,137|45|46|46|,0|0|0|0|,0|0|0|0|,48|22|15|11|,33|18|9|6|,0|0|0|0|,0|0|0|0|,81,189,48,727|301|298|128|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,997|389|387|221|,697|289|287|121|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,6.0|0|0|6.0|,0|0|0|0|,0|0|0|0|,0|0|0|,294|95|99|100|,24|10|9|5|,270|85|90|95|,4|4|4|4|,0.49651234567901237|0.49709452479338845|0.49179396540840803|0.4811249855474621|,0.43148148148148147|0.38636363636363635|0.4943820224719101|0.41397849462365593|,0.5444444444444444,0.45555555555555555,0.46111111111111114,0.5388888888888889,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270|88|89|93|,85|90|95|,0|0|0|,0|0|0|,0|0|0|,5|12|13|,0|0|0|,14,7,3,12,7,5
8,300.0|100.0|100.0|100.0|,1.0296296296296297,270|85|90|95|,0.0|0.0|0.0|,0.0|0.0|0.0|,140|40|48|52|,130|45|42|43|,0|0|0|0|,0|0|0|0|,33|6|7|20|,35|11|10|14|,0|0|0|0|,0|0|0|0|,68,202,33,525|32|178|315|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,795|117|268|410|,495|17|168|310|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,3.0|0|3.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,297|100|100|97|,19|5|8|6|,278|95|92|91|,4|4|4|4|,0.4936728395061728|0.49550173010380627|0.49030864197530866|0.48955678670360103|,0.5092592592592593|0.5294117647058824|0.5666666666666667|0.4368421052631579|,0.5722222222222222,0.42777777777777776,0.4666666666666667,0.5333333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270|85|90|95|,95|92|91|,0|0|0|,0|0|0|,0|0|0|,7|6|8|,0|0|0|,6,4,4,11,6,2
9,300.0|100.0|100.0|100.0|,0.9892086330935251,278|95|92|91|,0.0|0.0|0.0|,0.0|0.0|0.0|,144|48|47|49|,134|47|45|42|,0|0|0|0|,0|0|0|0|,61|33|17|11|,55|32|13|10|,0|0|0|0|,0|0|0|0|,116,162,61,1129|521|402|206|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1407|616|494|297|,1107|516|394|197|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,7.0|0|7.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|94|100|99|,18|8|4|6|,275|86|96|93|,4|4|4|4|,0.49231082759691525|0.48988919667590025|0.493944943289225|0.48861852433281006|,0.5017985611510791|0.531578947368421|0.47282608695652173|0.5|,0.5377697841726619,0.46223021582733814,0.420863309352518,0.579136690647482,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278|95|92|91|,86|96|93|,0|0|0|,0|0|0|,0|0|0|,3|9|7|,0|0|0|,8,2,0,23,9,19
