Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,547|315|138|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,547|315|138|,nan|nan|nan|,nan|nan|nan|,0|547|453|,0|0|0|,3652|547|453|,0|0|0|,757|145|98|,0|0|0|,0|0|0|,757|145|98|,0|0|0|,0|0|0|,649|121|82|,7|8|28|,0|0|0|
1,0|1|2|,642|113|54|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,642|113|54|,nan|nan|nan|,nan|nan|nan|,0|642|167|,0|0|0|,1131|642|167|,0|0|0|,482|390|100|,0|0|0|,0|0|0|,482|390|100|,0|0|0|,0|0|0|,431|332|90|,10|21|35|,0|0|0|
2,0|1|2|,421|311|55|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,421|311|55|,nan|nan|nan|,nan|nan|nan|,0|421|366|,0|0|0|,2988|421|366|,0|0|0|,782|119|98|,0|0|0|,0|0|0|,782|119|98|,0|0|0|,0|0|0|,694|100|88|,15|11|31|,0|0|0|
3,0|1|2|,679|89|57|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,679|89|57|,nan|nan|nan|,nan|nan|nan|,0|679|146|,0|0|0|,776|679|146|,0|0|0|,442|435|89|,0|0|0|,0|0|0|,442|435|89|,0|0|0|,0|0|0|,385|374|73|,7|18|33|,0|0|0|
4,0|1|2|,378|356|40|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,378|356|40|,nan|nan|nan|,nan|nan|nan|,0|378|396|,0|0|0|,3548|378|396|,0|0|0|,790|95|115|,0|0|0|,0|0|0|,790|95|115|,0|0|0|,0|0|0|,681|83|106|,9|8|47|,0|0|0|
5,0|1|2|,672|75|59|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,672|75|59|,nan|nan|nan|,nan|nan|nan|,0|672|134|,0|0|0|,853|672|134|,0|0|0|,395|446|77|,0|0|0|,0|0|0|,395|446|77|,0|0|0|,0|0|0|,372|412|67|,6|27|20|,0|0|0|
6,0|1|2|,366|385|47|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,366|385|47|,nan|nan|nan|,nan|nan|nan|,0|366|432|,0|0|0|,3642|366|432|,0|0|0|,758|152|90|,0|0|0|,0|0|0|,758|152|90|,0|0|0|,0|0|0|,660|141|82|,19|4|31|,0|0|0|
7,0|1|2|,641|137|51|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,641|137|51|,nan|nan|nan|,nan|nan|nan|,0|641|188|,0|0|0|,1478|641|188|,0|0|0|,553|354|79|,0|0|0|,0|0|0|,553|354|79|,0|0|0|,0|0|0|,499|313|72|,6|14|22|,0|0|0|
8,0|1|2|,493|299|50|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,493|299|50|,nan|nan|nan|,nan|nan|nan|,0|493|349|,0|0|0|,2844|493|349|,0|0|0|,739|169|92|,0|0|0|,0|0|0|,739|169|92|,0|0|0|,0|0|0|,648|157|77|,16|12|26|,0|0|0|
9,0|1|2|,632|145|51|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,632|145|51|,nan|nan|nan|,nan|nan|nan|,0|632|196|,0|0|0|,1517|632|196|,0|0|0|,517|357|105|,0|0|0|,0|0|0|,517|357|105|,0|0|0|,0|0|0|,463|321|94|,8|17|37|,0|0|0|
10,0|1|2|,455|304|57|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,455|304|57|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
