Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,300.0|100.0|100.0|100.0|,0.8866666666666667,300|100|100|100|,0.0|0.0|0.0|,0.0|0.0|0.0|,161|56|56|49|,139|44|44|51|,0|0|0|0|,0|0|0|0|,76|29|30|17|,62|18|22|22|,0|0|0|0|,0|0|0|0|,138,162,76,564|309|160|95|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,864|409|260|195|,564|309|160|95|,0|0|0|0|,0|0|0|0|,299|99|100|100|,0|0|0|0|,299|99|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,6.0|0|4.0|2.0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|93|100|100|,27|7|11|9|,266|86|89|91|,4|4|4|4|,0.4991972222222223|0.4957750000000001|0.499675|0.49617500000000003|,0.49833333333333335|0.545|0.475|0.475|,0.5133333333333333,0.4866666666666667,0.475,0.525,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300|100|100|100|,86|89|91|,0|0|0|,0|0|0|,0|0|0|,86|89|91|,0|0|0|,7,1,2,20,19,27
1,300.0|100.0|100.0|100.0|,0.9849624060150376,266|86|89|91|,0.0|0.0|0.0|,0.0|0.0|0.0|,137|39|45|53|,129|47|44|38|,0|0|0|0|,0|0|0|0|,48|16|17|15|,37|16|10|11|,0|0|0|0|,0|0|0|0|,85,181,48,449|109|158|182|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,715|195|247|273|,415|95|147|173|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,15.0|15.0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,285|100|89|96|,23|7|8|8|,262|93|81|88|,4|4|4|4|,0.49716631805076594|0.48938615467820434|0.49352985734124477|0.49984905204685426|,0.5375939849624061|0.5813953488372093|0.5|0.532967032967033|,0.4642857142857143,0.5357142857142857,0.4605263157894737,0.5394736842105263,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266|86|89|91|,93|81|88|,0|0|0|,0|0|0|,0|0|0|,93|81|88|,0|0|0|,2,0,7,14,10,15
2,300.0|100.0|100.0|100.0|,0.9961832061068703,262|93|81|88|,0.0|0.0|0.0|,0.0|0.0|0.0|,140|51|43|46|,122|42|38|42|,0|0|0|0|,0|0|0|0|,55|24|13|18|,42|10|15|17|,0|0|0|0|,0|0|0|0|,97,165,55,609|86|166|357|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,871|179|247|445|,571|79|147|345|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,7.0|0|0|7.0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|98|95|100|,32|8|12|12|,261|90|83|88|,4|4|4|4|,0.49883456675018933|0.4988148918950168|0.49569425392470656|0.49896694214876036|,0.4847328244274809|0.44623655913978494|0.4876543209876543|0.5227272727272727|,0.46946564885496184,0.5305343511450382,0.5152671755725191,0.4847328244274809,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262|93|81|88|,90|83|88|,0|0|0|,0|0|0|,0|0|0|,90|83|88|,0|0|0|,6,2,5,17,14,11
3,300.0|100.0|100.0|100.0|,1.053639846743295,261|90|83|88|,0.0|0.0|0.0|,0.0|0.0|0.0|,129|51|33|45|,132|39|50|43|,0|0|0|0|,0|0|0|0|,37|11|12|14|,35|7|16|12|,0|0|0|0|,0|0|0|0|,72,189,37,488|158|28|302|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,749|248|111|390|,449|148|11|290|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,3.0|0|3.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,297|100|100|97|,22|7|8|7|,275|93|92|90|,4|4|4|4|,0.49760352901454763|0.4908024691358025|0.49938307446654095|0.4973527892561983|,0.48084291187739464|0.4777777777777778|0.4879518072289157|0.4772727272727273|,0.524904214559387,0.47509578544061304,0.5421455938697318,0.4578544061302682,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261|90|83|88|,93|92|90|,0|0|0|,0|0|0|,0|0|0|,93|92|90|,0|0|0|,2,1,2,7,13,12
4,300.0|100.0|100.0|100.0|,0.9672727272727273,275|93|92|90|,0.0|0.0|0.0|,0.0|0.0|0.0|,122|35|44|43|,153|58|48|47|,0|0|0|0|,0|0|0|0|,46|15|10|21|,65|24|13|28|,0|0|0|0|,0|0|0|0|,111,164,46,768|233|209|326|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1043|326|301|416|,743|226|201|316|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,14.0|14.0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,286|100|94|92|,20|3|7|10|,266|97|87|82|,4|4|4|4|,0.4859504132231406|0.48089374494161186|0.4823960302457466|0.48737654320987644|,0.43636363636363634|0.42473118279569894|0.4782608695652174|0.40555555555555556|,0.4909090909090909,0.509090909090909,0.6181818181818182,0.38181818181818183,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275|93|92|90|,97|87|82|,0|0|0|,0|0|0|,0|0|0|,97|87|82|,0|0|0|,11,6,3,9,8,9
5,300.0|100.0|100.0|100.0|,1.0263157894736843,266|97|87|82|,0.0|0.0|0.0|,0.0|0.0|0.0|,128|54|36|38|,138|43|51|44|,0|0|0|0|,0|0|0|0|,35|17|7|11|,32|7|14|11|,0|0|0|0|,0|0|0|0|,67,199,35,553|178|184|191|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,819|275|271|273|,519|175|171|173|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,9.0|0|4.0|5.0|,0|0|0|0|,0|0|0|0|,0|0|0|,291|91|100|100|,18|2|9|7|,273|89|91|93|,4|4|4|4|,0.49872095652665505|0.4980337974279945|0.47886114414057335|0.49449732302201077|,0.5338345864661654|0.5463917525773195|0.5172413793103449|0.5365853658536586|,0.5357142857142857,0.4642857142857143,0.5018796992481203,0.4981203007518797,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266|97|87|82|,89|91|93|,0|0|0|,0|0|0|,0|0|0|,89|91|93|,0|0|0|,6,2,6,13,6,2
6,300.0|100.0|100.0|100.0|,1.010989010989011,273|89|91|93|,0.0|0.0|0.0|,0.0|0.0|0.0|,130|40|44|46|,143|49|47|47|,0|0|0|0|,0|0|0|0|,28|6|10|12|,50|17|18|15|,0|0|0|0|,0|0|0|0|,78,195,28,513|114|197|202|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,786|203|288|295|,486|103|188|195|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,7.0|7.0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,293|100|95|98|,17|5|7|5|,276|95|88|93|,4|4|4|4|,0.4723295629889036|0.44464082817826034|0.4842410336915831|0.46632558677303737|,0.47802197802197804|0.42696629213483145|0.5054945054945055|0.5|,0.5586080586080586,0.4413919413919414,0.6556776556776557,0.3443223443223443,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273|89|91|93|,95|88|93|,0|0|0|,0|0|0|,0|0|0|,95|88|93|,0|0|0|,4,0,0,8,6,10
7,300.0|100.0|100.0|100.0|,0.9601449275362319,276|95|88|93|,0.0|0.0|0.0|,0.0|0.0|0.0|,142|53|44|45|,134|42|44|48|,0|0|0|0|,0|0|0|0|,48|16|14|18|,43|8|17|18|,0|0|0|0|,0|0|0|0|,91,185,48,723|241|282|200|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,999|336|370|293|,699|236|270|193|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,16.0|16.0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,284|100|93|91|,19|7|7|5|,265|93|86|86|,4|4|4|4|,0.49907779353077086|0.49720221606648196|0.49974173553719003|0.49849693606197254|,0.5271739130434783|0.5421052631578948|0.5340909090909091|0.5053763440860215|,0.5090579710144928,0.49094202898550726,0.5289855072463768,0.47101449275362317,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276|95|88|93|,93|86|86|,0|0|0|,0|0|0|,0|0|0|,93|86|86|,0|0|0|,8,4,2,10,9,15
8,300.0|100.0|100.0|100.0|,1.049056603773585,265|93|86|86|,0.0|0.0|0.0|,0.0|0.0|0.0|,144|53|44|47|,121|40|42|39|,0|0|0|0|,0|0|0|0|,38|15|7|16|,33|12|12|9|,0|0|0|0|,0|0|0|0|,71,194,38,724|307|113|304|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,989|400|199|390|,689|300|99|290|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,2.0|0|2.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,298|98|100|100|,20|8|4|8|,278|90|96|92|,4|4|4|4|,0.4627020291918833|0.46748178980228927|0.44287452677122774|0.46944294213088156|,0.5|0.553763440860215|0.45348837209302323|0.4883720930232558|,0.5490566037735849,0.4509433962264151,0.6867924528301886,0.3132075471698113,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265|93|86|86|,90|96|92|,0|0|0|,0|0|0|,0|0|0|,90|96|92|,0|0|0|,2,1,1,14,12,8
9,300.0|100.0|100.0|100.0|,0.9964028776978417,278|90|96|92|,0.0|0.0|0.0|,0.0|0.0|0.0|,144|47|49|48|,134|43|47|44|,0|0|0|0|,0|0|0|0|,48|15|14|19|,42|15|15|12|,0|0|0|0|,0|0|0|0|,90,188,48,893|232|245|416|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1171|322|341|508|,871|222|241|408|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,12.0|0|0|12.0|,0|0|0|0|,0|0|0|0|,0|0|0|,288|97|91|100|,11|3|3|5|,277|94|88|95|,4|4|4|4|,0.4922202525749184|0.4862654320987654|0.4937065972222222|0.4815099243856332|,0.48741007194244607|0.48333333333333334|0.5104166666666666|0.4673913043478261|,0.5035971223021583,0.49640287769784175,0.5881294964028777,0.4118705035971223,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278|90|96|92|,94|88|95|,0|0|0|,0|0|0|,0|0|0|,94|88|95|,0|0|0|,3,10,2,12,13,8
