Year,1,2,3
0,37.254901960784316,33.33333333333333,29.411764705882355
1,34.78260869565217,34.78260869565217,30.434782608695656
2,30.23255813953488,25.581395348837212,44.18604651162791
3,39.130434782608695,26.08695652173913,34.78260869565217
4,38.46153846153847,30.76923076923077,30.76923076923077
5,33.33333333333333,33.33333333333333,33.33333333333333
6,30.76923076923077,26.923076923076923,42.30769230769231
7,38.095238095238095,33.33333333333333,28.57142857142857
8,15.789473684210526,36.84210526315789,47.368421052631575
9,100.0,0.0,0.0
