Year,1,2,3
0,31.11111111111111,35.55555555555556,33.33333333333333
1,42.857142857142854,23.809523809523807,33.33333333333333
2,20.51282051282051,33.33333333333333,46.15384615384615
3,39.39393939393939,30.303030303030305,30.303030303030305
4,34.48275862068966,27.586206896551722,37.93103448275862
5,42.857142857142854,33.33333333333333,23.809523809523807
6,23.52941176470588,35.294117647058826,41.17647058823529
7,26.666666666666668,26.666666666666668,46.666666666666664
8,38.46153846153847,15.384615384615385,46.15384615384615
9,0.0,100.0,0.0
