Year,1,2,3
0,32.69230769230769,34.61538461538461,32.69230769230769
1,37.254901960784316,31.372549019607842,31.372549019607842
2,27.083333333333332,27.083333333333332,45.83333333333333
3,40.0,35.55555555555556,24.444444444444443
4,32.608695652173914,32.608695652173914,34.78260869565217
5,38.46153846153847,25.64102564102564,35.8974358974359
6,30.555555555555557,25.0,44.44444444444444
7,32.432432432432435,29.72972972972973,37.83783783783784
8,46.666666666666664,36.666666666666664,16.666666666666664
9,0.0,0.0,100.0
