Year,1,2,3
0,32.69230769230769,34.61538461538461,32.69230769230769
1,35.84905660377358,28.30188679245283,35.84905660377358
2,24.074074074074073,29.629629629629626,46.2962962962963
3,34.54545454545455,32.72727272727273,32.72727272727273
4,35.294117647058826,31.372549019607842,33.33333333333333
5,31.70731707317073,31.70731707317073,36.58536585365854
6,28.57142857142857,37.142857142857146,34.285714285714285
7,42.10526315789473,21.052631578947366,36.84210526315789
8,36.84210526315789,36.84210526315789,26.31578947368421
9,0.0,0.0,100.0
