Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,236|108|56|,31.0|53.0|92.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,236|108|56|,31.0|53.0|92.0|,0.0|0.0|0.0|,0|236|164|,0|0|0|,1106|236|164|,0|0|0|,306|58|36|,0|0|0|,0|0|0|,306|58|36|,0|0|0|,0|0|0|,296|57|36|,4|4|17|,0|0|0|
1,0|1|2|,292|53|19|,31.0|31.0|59.1578947368421|,0.0|0.0|14.221048735828676|,31.0|53.0|92.0|,292|53|19|,31.0|31.0|59.1578947368421|,0.0|0.0|14.221048735828676|,0|292|72|,0|0|0|,601|292|72|,0|0|0|,252|108|40|,0|0|0|,0|0|0|,252|108|40|,0|0|0|,0|0|0|,238|103|39|,5|7|16|,0|0|0|
2,0|1|2|,233|96|23|,31.0|31.0|37.47826086956522|,0.0|0.0|14.282459796722359|,31.0|53.0|92.0|,233|96|23|,31.0|31.0|37.47826086956522|,0.0|0.0|14.282459796722359|,0|233|119|,0|0|0|,1152|233|119|,0|0|0|,289|69|42|,0|0|0|,0|0|0|,289|69|42|,0|0|0|,0|0|0|,284|65|40|,5|1|16|,0|0|0|
3,0|1|2|,279|64|24|,31.0|31.0|33.541666666666664|,0.0|0.0|12.189405121753161|,31.0|53.0|92.0|,279|64|24|,31.0|31.0|33.541666666666664|,0.0|0.0|12.189405121753161|,0|279|88|,0|0|0|,629|279|88|,0|0|0|,206|153|41|,0|0|0|,0|0|0|,206|153|41|,0|0|0|,0|0|0|,201|146|37|,7|5|19|,0|0|0|
4,0|1|2|,194|141|18|,31.0|31.0|34.388888888888886|,0.0|0.0|13.97274684237096|,31.0|53.0|92.0|,194|141|18|,31.0|31.0|34.388888888888886|,0.0|0.0|13.97274684237096|,0|194|159|,0|0|0|,1656|194|159|,0|0|0|,310|66|24|,0|0|0|,0|0|0|,310|66|24|,0|0|0|,0|0|0|,303|63|23|,4|6|12|,0|0|0|
5,0|1|2|,299|57|11|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,299|57|11|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|299|68|,0|0|0|,501|299|68|,0|0|0|,159|197|35|,0|0|0|,0|0|0|,159|197|35|,0|0|0|,0|0|0|,154|180|33|,6|11|16|,0|0|0|
6,0|1|2|,148|169|17|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,148|169|17|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|148|186|,0|0|0|,2259|148|186|,0|0|0|,342|34|24|,0|0|0|,0|0|0|,342|34|24|,0|0|0|,0|0|0|,330|33|24|,6|3|13|,0|0|0|
7,0|1|2|,324|30|11|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,324|30|11|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|324|41|,0|0|0|,248|324|41|,0|0|0|,131|228|25|,0|0|0|,0|0|0|,131|228|25|,0|0|0|,0|0|0|,126|220|24|,1|15|12|,0|0|0|
8,0|1|2|,125|205|12|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,125|205|12|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|125|217|,0|0|0|,2093|125|217|,0|0|0|,344|23|33|,0|0|0|,0|0|0|,344|23|33|,0|0|0|,0|0|0|,327|20|32|,7|1|14|,0|0|0|
9,0|1|2|,320|19|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,320|19|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|320|37|,0|0|0|,317|320|37|,0|0|0|,147|225|28|,0|0|0|,0|0|0|,147|225|28|,0|0|0|,0|0|0|,143|209|26|,0|9|12|,0|0|0|
