Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,575|268|157|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,575|268|157|,nan|nan|nan|,nan|nan|nan|,0|575|425|,0|0|0|,2591|575|425|,0|0|0|,675|191|134|,0|0|0|,0|0|0|,675|191|134|,0|0|0|,0|0|0|,650|184|128|,20|10|58|,0|0|0|
1,0|1|2|,630|174|70|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,630|174|70|,nan|nan|nan|,nan|nan|nan|,0|630|244|,0|0|0|,1634|630|244|,0|0|0|,614|279|107|,0|0|0|,0|0|0|,614|279|107|,0|0|0|,0|0|0|,587|268|99|,10|13|36|,0|0|0|
2,0|1|2|,577|255|63|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,577|255|63|,nan|nan|nan|,nan|nan|nan|,0|577|318|,0|0|0|,2731|577|318|,0|0|0|,724|181|94|,0|0|0|,0|0|0|,724|181|94|,0|0|0|,0|0|0|,700|176|92|,9|7|32|,0|0|0|
3,0|1|2|,691|169|60|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,691|169|60|,nan|nan|nan|,nan|nan|nan|,0|691|229|,0|0|0|,1763|691|229|,0|0|0|,564|333|103|,0|0|0|,0|0|0|,564|333|103|,0|0|0|,0|0|0|,522|308|97|,9|18|41|,0|0|0|
4,0|1|2|,513|290|56|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,513|290|56|,nan|nan|nan|,nan|nan|nan|,0|513|346|,0|0|0|,2860|513|346|,0|0|0|,740|160|100|,0|0|0|,0|0|0|,740|160|100|,0|0|0|,0|0|0|,706|153|94|,12|8|40|,0|0|0|
5,0|1|2|,694|145|54|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,694|145|54|,nan|nan|nan|,nan|nan|nan|,0|694|199|,0|0|0|,1422|694|199|,0|0|0|,580|338|82|,0|0|0|,0|0|0|,580|338|82|,0|0|0|,0|0|0|,559|319|74|,12|22|33|,0|0|0|
6,0|1|2|,547|297|41|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,547|297|41|,nan|nan|nan|,nan|nan|nan|,0|547|338|,0|0|0|,3047|547|338|,0|0|0|,774|156|71|,0|0|0|,0|0|0|,774|156|71|,0|0|0|,0|0|0|,731|145|67|,14|6|31|,0|0|0|
7,0|1|2|,717|139|36|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,717|139|36|,nan|nan|nan|,nan|nan|nan|,0|717|175|,0|0|0|,1221|717|175|,0|0|0|,526|381|93|,0|0|0|,0|0|0|,526|381|93|,0|0|0|,0|0|0|,506|369|89|,13|17|30|,0|0|0|
8,0|1|2|,493|352|59|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,493|352|59|,nan|nan|nan|,nan|nan|nan|,0|493|411|,0|0|0|,3585|493|411|,0|0|0|,782|118|100|,0|0|0|,0|0|0|,782|118|100|,0|0|0|,0|0|0|,767|113|98|,19|8|41|,0|0|0|
9,0|1|2|,748|105|57|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,748|105|57|,nan|nan|nan|,nan|nan|nan|,0|748|162|,0|0|0|,1168|748|162|,0|0|0|,536|388|76|,0|0|0|,0|0|0|,536|388|76|,0|0|0|,0|0|0|,515|369|71|,10|18|26|,0|0|0|
10,0|1|2|,505|351|45|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,505|351|45|,nan|nan|nan|,nan|nan|nan|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|,NA|NA|NA|
