Year,1,2,3
0,30.63314711359404,48.4171322160149,20.949720670391063
1,28.622540250447226,50.268336314847936,21.10912343470483
2,24.729241877256317,49.277978339350184,25.992779783393498
3,25.622775800711743,48.39857651245551,25.97864768683274
4,27.75800711743772,51.60142348754449,20.640569395017792
5,34.48275862068966,48.275862068965516,17.24137931034483
6,31.03448275862069,51.724137931034484,17.24137931034483
7,30.666666666666664,52.0,17.333333333333336
8,24.0,48.0,28.000000000000004
9,0.0,100.0,0.0
