Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,239|119|42|,31.0|53.0|92.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,239|119|42|,31.0|53.0|92.0|,0.0|0.0|0.0|,0|239|161|,0|0|0|,1202|239|161|,0|0|0|,300|59|41|,0|0|0|,0|0|0|,300|59|41|,0|0|0|,0|0|0|,288|55|40|,8|1|13|,0|0|0|
1,0|1|2|,280|54|27|,31.0|31.0|63.111111111111114|,0.0|0.0|17.090897151176666|,31.0|53.0|92.0|,280|54|27|,31.0|31.0|63.111111111111114|,0.0|0.0|17.090897151176666|,0|280|81|,0|0|0|,468|280|81|,0|0|0|,220|140|40|,0|0|0|,0|0|0|,220|140|40|,0|0|0|,0|0|0|,217|139|38|,3|8|5|,0|0|0|
2,0|1|2|,214|131|33|,31.0|31.0|43.06060606060606|,0.0|0.0|20.20491898394651|,31.0|53.0|92.0|,214|131|33|,31.0|31.0|43.06060606060606|,0.0|0.0|20.20491898394651|,0|214|164|,0|0|0|,1092|214|164|,0|0|0|,294|55|51|,0|0|0|,0|0|0|,294|55|51|,0|0|0|,0|0|0|,284|55|51|,5|5|21|,0|0|0|
3,0|1|2|,279|50|30|,31.0|31.0|31.733333333333334|,0.0|0.0|3.9491208585653026|,31.0|53.0|92.0|,279|50|30|,31.0|31.0|31.733333333333334|,0.0|0.0|3.9491208585653026|,0|279|80|,0|0|0|,378|279|80|,0|0|0|,166|178|41|,0|0|0|,0|0|0|,166|178|41|,0|0|0|,0|0|0|,166|172|41|,2|8|11|,0|0|0|
4,0|1|2|,164|164|30|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,164|164|30|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|164|194|,0|0|0|,1117|164|194|,0|0|0|,271|66|63|,0|0|0|,0|0|0|,271|66|63|,0|0|0|,0|0|0|,259|60|60|,4|7|28|,0|0|0|
5,0|1|2|,255|53|32|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,255|53|32|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|255|85|,0|0|0|,518|255|85|,0|0|0|,207|152|41|,0|0|0|,0|0|0|,207|152|41|,0|0|0|,0|0|0|,206|149|41|,4|9|12|,0|0|0|
6,0|1|2|,202|140|29|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,202|140|29|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|202|169|,0|0|0|,1324|202|169|,0|0|0|,255|99|46|,0|0|0|,0|0|0|,255|99|46|,0|0|0|,0|0|0|,242|83|43|,3|4|18|,0|0|0|
7,0|1|2|,239|79|25|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,239|79|25|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|239|104|,0|0|0|,754|239|104|,0|0|0|,176|172|47|,0|0|0|,0|0|0|,176|172|47|,0|0|0|,0|0|0|,176|161|45|,4|4|19|,0|0|0|
8,0|1|2|,172|157|26|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,172|157|26|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|172|183|,0|0|0|,1529|172|183|,0|0|0|,286|71|43|,0|0|0|,0|0|0|,286|71|43|,0|0|0|,0|0|0|,278|61|41|,4|5|19|,0|0|0|
9,0|1|2|,274|56|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,274|56|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|274|78|,0|0|0|,439|274|78|,0|0|0|,142|197|39|,0|0|0|,0|0|0|,142|197|39|,0|0|0|,0|0|0|,141|190|38|,3|20|13|,0|0|0|
10,0|1|2|,138|170|25|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,138|170|25|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|138|195|,0|0|0|,1444|138|195|,0|0|0|,286|66|48|,0|0|0|,0|0|0|,286|66|48|,0|0|0|,0|0|0|,278|56|45|,7|2|23|,0|0|0|
11,0|1|2|,271|54|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,271|54|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|271|76|,0|0|0|,448|271|76|,0|0|0|,137|212|39|,0|0|0|,0|0|0|,137|212|39|,0|0|0|,0|0|0|,136|208|38|,4|8|12|,0|0|0|
12,0|1|2|,132|200|26|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,132|200|26|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|132|226|,0|0|0|,1773|132|226|,0|0|0|,315|48|37|,0|0|0|,0|0|0|,315|48|37|,0|0|0|,0|0|0|,309|44|35|,7|2|13|,0|0|0|
13,0|1|2|,302|42|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,302|42|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|302|64|,0|0|0|,453|302|64|,0|0|0|,157|204|33|,0|0|0|,0|0|0|,157|204|33|,0|0|0|,0|0|0|,155|194|32|,5|9|14|,0|0|0|
14,0|1|2|,150|185|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,150|185|18|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|150|203|,0|0|0|,1387|150|203|,0|0|0|,272|77|47|,0|0|0|,0|0|0|,272|77|47|,0|0|0|,0|0|0|,266|68|46|,10|3|19|,0|0|0|
15,0|1|2|,256|65|27|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,256|65|27|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|256|92|,0|0|0|,610|256|92|,0|0|0|,175|172|38|,0|0|0|,0|0|0|,175|172|38|,0|0|0|,0|0|0|,173|165|37|,6|7|15|,0|0|0|
16,0|1|2|,167|158|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,167|158|22|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|167|180|,0|0|0|,1660|167|180|,0|0|0|,273|88|38|,0|0|0|,0|0|0|,273|88|38|,0|0|0|,0|0|0|,265|80|37|,7|4|14|,0|0|0|
17,0|1|2|,258|76|23|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,258|76|23|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|258|99|,0|0|0|,771|258|99|,0|0|0|,184|168|32|,0|0|0|,0|0|0|,184|168|32|,0|0|0|,0|0|0|,181|159|32|,2|7|16|,0|0|0|
18,0|1|2|,179|152|16|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,179|152|16|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|179|168|,0|0|0|,1503|179|168|,0|0|0|,271|98|31|,0|0|0|,0|0|0|,271|98|31|,0|0|0|,0|0|0|,262|92|31|,4|9|12|,0|0|0|
19,0|1|2|,258|83|19|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,258|83|19|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|258|102|,0|0|0|,578|258|102|,0|0|0|,160|190|39|,0|0|0|,0|0|0|,160|190|39|,0|0|0|,0|0|0|,160|185|39|,7|11|14|,0|0|0|
20,0|1|2|,153|174|25|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,153|174|25|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|153|199|,0|0|0|,2321|153|199|,0|0|0|,307|59|34|,0|0|0|,0|0|0|,307|59|34|,0|0|0|,0|0|0|,294|58|33|,5|0|13|,0|0|0|
21,0|1|2|,289|58|20|,31.0|31.0|31.0|,0.0|0.0|0.0|,31.0|53.0|92.0|,289|58|20|,31.0|31.0|31.0|,0.0|0.0|0.0|,0|289|78|,0|0|0|,713|289|78|,0|0|0|,160|200|25|,0|0|0|,0|0|0|,160|200|25|,0|0|0|,0|0|0|,160|197|25|,1|7|7|,0|0|0|
