Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,207|121|72|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,207|121|72|,nan|nan|nan|,nan|nan|nan|,0|207|193|,0|0|0|,1079|207|193|,0|0|0|,271|66|63|,0|0|0|,0|0|0|,271|66|63|,0|0|0|,0|0|0|,264|65|63|,4|4|27|,0|0|0|
1,0|1|2|,260|61|36|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,260|61|36|,nan|nan|nan|,nan|nan|nan|,0|260|97|,0|0|0|,501|260|97|,0|0|0|,218|137|45|,0|0|0|,0|0|0|,218|137|45|,0|0|0|,0|0|0|,214|133|44|,5|9|14|,0|0|0|
2,0|1|2|,209|124|30|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,209|124|30|,nan|nan|nan|,nan|nan|nan|,0|209|154|,0|0|0|,1103|209|154|,0|0|0|,298|56|46|,0|0|0|,0|0|0|,298|56|46|,0|0|0|,0|0|0|,294|54|46|,6|3|16|,0|0|0|
3,0|1|2|,288|51|30|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,288|51|30|,nan|nan|nan|,nan|nan|nan|,0|288|81|,0|0|0|,410|288|81|,0|0|0|,183|176|41|,0|0|0|,0|0|0|,183|176|41|,0|0|0|,0|0|0|,182|171|41|,3|5|20|,0|0|0|
4,0|1|2|,179|166|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,179|166|21|,nan|nan|nan|,nan|nan|nan|,0|179|187|,0|0|0|,1620|179|187|,0|0|0|,305|66|29|,0|0|0|,0|0|0|,305|66|29|,0|0|0|,0|0|0|,300|66|29|,1|5|13|,0|0|0|
5,0|1|2|,299|61|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,299|61|16|,nan|nan|nan|,nan|nan|nan|,0|299|77|,0|0|0|,552|299|77|,0|0|0|,227|140|33|,0|0|0|,0|0|0|,227|140|33|,0|0|0|,0|0|0|,227|136|32|,7|9|11|,0|0|0|
6,0|1|2|,220|127|21|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,220|127|21|,nan|nan|nan|,nan|nan|nan|,0|220|148|,0|0|0|,1190|220|148|,0|0|0|,284|76|40|,0|0|0|,0|0|0|,284|76|40|,0|0|0|,0|0|0|,279|75|40|,2|2|15|,0|0|0|
7,0|1|2|,277|73|25|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,277|73|25|,nan|nan|nan|,nan|nan|nan|,0|277|98|,0|0|0|,869|277|98|,0|0|0|,205|151|44|,0|0|0|,0|0|0|,205|151|44|,0|0|0|,0|0|0|,202|150|43|,2|11|14|,0|0|0|
8,0|1|2|,200|139|29|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,200|139|29|,nan|nan|nan|,nan|nan|nan|,0|200|168|,0|0|0|,1319|200|168|,0|0|0|,270|85|45|,0|0|0|,0|0|0|,270|85|45|,0|0|0|,0|0|0|,265|84|45|,2|4|22|,0|0|0|
9,0|1|2|,263|80|23|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,263|80|23|,nan|nan|nan|,nan|nan|nan|,0|263|103|,0|0|0|,736|263|103|,0|0|0|,222|139|35|,0|0|0|,0|0|0|,222|139|35|,0|0|0|,0|0|0|,221|137|35|,0|6|15|,0|0|0|
10,0|1|2|,221|131|20|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,221|131|20|,nan|nan|nan|,nan|nan|nan|,0|221|151|,0|0|0|,1451|221|151|,0|0|0|,260|105|35|,0|0|0|,0|0|0|,260|105|35|,0|0|0|,0|0|0|,259|103|33|,4|6|16|,0|0|0|
11,0|1|2|,255|97|17|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,255|97|17|,nan|nan|nan|,nan|nan|nan|,0|255|114|,0|0|0|,1166|255|114|,0|0|0|,205|147|42|,0|0|0|,0|0|0|,205|147|42|,0|0|0|,0|0|0|,203|145|42|,9|9|17|,0|0|0|
12,0|1|2|,194|136|25|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,194|136|25|,nan|nan|nan|,nan|nan|nan|,0|194|161|,0|0|0|,1337|194|161|,0|0|0|,212|143|45|,0|0|0|,0|0|0|,212|143|45|,0|0|0|,0|0|0|,209|140|44|,4|4|15|,0|0|0|
13,0|1|2|,205|136|29|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,205|136|29|,nan|nan|nan|,nan|nan|nan|,0|205|165|,0|0|0|,1198|205|165|,0|0|0|,202|156|33|,0|0|0|,0|0|0|,202|156|33|,0|0|0|,0|0|0|,201|153|33|,5|9|9|,0|0|0|
14,0|1|2|,196|144|24|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,196|144|24|,nan|nan|nan|,nan|nan|nan|,0|196|168|,0|0|0|,1699|196|168|,0|0|0|,224|145|31|,0|0|0|,0|0|0|,224|145|31|,0|0|0|,0|0|0|,221|145|29|,2|11|17|,0|0|0|
15,0|1|2|,219|134|12|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,219|134|12|,nan|nan|nan|,nan|nan|nan|,0|219|146|,0|0|0|,1531|219|146|,0|0|0|,194|178|24|,0|0|0|,0|0|0|,194|178|24|,0|0|0|,0|0|0|,192|175|23|,4|11|11|,0|0|0|
16,0|1|2|,188|164|12|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,188|164|12|,nan|nan|nan|,nan|nan|nan|,0|188|176|,0|0|0|,1386|188|176|,0|0|0|,227|142|27|,0|0|0|,0|0|0|,227|142|27|,0|0|0|,0|0|0|,226|140|25|,3|6|3|,0|0|0|
17,0|1|2|,223|134|22|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,223|134|22|,nan|nan|nan|,nan|nan|nan|,0|223|156|,0|0|0|,1329|223|156|,0|0|0|,180|177|37|,0|0|0|,0|0|0|,180|177|37|,0|0|0|,0|0|0|,180|176|36|,3|11|18|,0|0|0|
18,0|1|2|,177|165|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,177|165|18|,nan|nan|nan|,nan|nan|nan|,0|177|183|,0|0|0|,2052|177|183|,0|0|0|,240|125|25|,0|0|0|,0|0|0|,240|125|25|,0|0|0|,0|0|0|,240|125|25|,8|10|7|,0|0|0|
19,0|1|2|,232|115|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,232|115|18|,nan|nan|nan|,nan|nan|nan|,0|232|133|,0|0|0|,1013|232|133|,0|0|0|,154|198|35|,0|0|0|,0|0|0|,154|198|35|,0|0|0|,0|0|0|,154|198|35|,1|5|20|,0|0|0|
20,0|1|2|,153|193|15|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,153|193|15|,nan|nan|nan|,nan|nan|nan|,0|153|208|,0|0|0|,2104|153|208|,0|0|0|,244|105|42|,0|0|0|,0|0|0|,244|105|42|,0|0|0|,0|0|0|,239|104|41|,6|5|19|,0|0|0|
21,0|1|2|,233|99|22|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,233|99|22|,nan|nan|nan|,nan|nan|nan|,0|233|121|,0|0|0|,938|233|121|,0|0|0|,150|195|27|,0|0|0|,0|0|0|,150|195|27|,0|0|0|,0|0|0|,150|195|27|,2|8|9|,0|0|0|
22,0|1|2|,148|187|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,148|187|18|,nan|nan|nan|,nan|nan|nan|,0|148|205|,0|0|0|,1950|148|205|,0|0|0|,253|102|41|,0|0|0|,0|0|0|,253|102|41|,0|0|0|,0|0|0|,253|98|40|,1|4|14|,0|0|0|
23,0|1|2|,252|94|26|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,252|94|26|,nan|nan|nan|,nan|nan|nan|,0|252|120|,0|0|0|,948|252|120|,0|0|0|,130|216|37|,0|0|0|,0|0|0|,130|216|37|,0|0|0|,0|0|0|,130|216|37|,4|12|14|,0|0|0|
24,0|1|2|,126|204|23|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,126|204|23|,nan|nan|nan|,nan|nan|nan|,0|126|227|,0|0|0|,2366|126|227|,0|0|0|,270|92|29|,0|0|0|,0|0|0|,270|92|29|,0|0|0|,0|0|0|,268|92|29|,7|4|13|,0|0|0|
25,0|1|2|,261|88|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,261|88|16|,nan|nan|nan|,nan|nan|nan|,0|261|104|,0|0|0|,791|261|104|,0|0|0|,143|219|24|,0|0|0|,0|0|0|,143|219|24|,0|0|0|,0|0|0|,143|219|24|,3|12|7|,0|0|0|
26,0|1|2|,140|207|17|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,140|207|17|,nan|nan|nan|,nan|nan|nan|,0|140|224|,0|0|0|,1827|140|224|,0|0|0|,256|98|36|,0|0|0|,0|0|0|,256|98|36|,0|0|0|,0|0|0|,255|97|36|,2|5|13|,0|0|0|
27,0|1|2|,253|92|23|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,253|92|23|,nan|nan|nan|,nan|nan|nan|,0|253|115|,0|0|0|,784|253|115|,0|0|0|,121|234|30|,0|0|0|,0|0|0|,121|234|30|,0|0|0|,0|0|0|,121|234|30|,4|14|11|,0|0|0|
28,0|1|2|,117|220|19|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,117|220|19|,nan|nan|nan|,nan|nan|nan|,0|117|239|,0|0|0|,2006|117|239|,0|0|0|,258|91|36|,0|0|0|,0|0|0|,258|91|36|,0|0|0|,0|0|0|,250|91|36|,4|1|16|,0|0|0|
29,0|1|2|,246|90|20|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,246|90|20|,nan|nan|nan|,nan|nan|nan|,0|246|110|,0|0|0|,694|246|110|,0|0|0|,96|246|35|,0|0|0|,0|0|0|,96|246|35|,0|0|0|,0|0|0|,96|241|35|,2|15|18|,0|0|0|
30,0|1|2|,94|226|17|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,94|226|17|,nan|nan|nan|,nan|nan|nan|,0|94|243|,0|0|0|,2160|94|243|,0|0|0|,272|85|29|,0|0|0|,0|0|0|,272|85|29|,0|0|0|,0|0|0|,272|85|29|,5|2|13|,0|0|0|
31,0|1|2|,267|83|16|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,267|83|16|,nan|nan|nan|,nan|nan|nan|,0|267|99|,0|0|0|,709|267|99|,0|0|0|,94|267|17|,0|0|0|,0|0|0|,94|267|17|,0|0|0|,0|0|0|,94|267|17|,1|11|6|,0|0|0|
32,0|1|2|,93|256|11|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,93|256|11|,nan|nan|nan|,nan|nan|nan|,0|93|267|,0|0|0|,1937|93|267|,0|0|0|,270|93|32|,0|0|0|,0|0|0|,270|93|32|,0|0|0|,0|0|0|,270|92|32|,5|2|12|,0|0|0|
33,0|1|2|,265|90|20|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,265|90|20|,nan|nan|nan|,nan|nan|nan|,0|265|110|,0|0|0|,668|265|110|,0|0|0|,86|265|28|,0|0|0|,0|0|0|,86|265|28|,0|0|0|,0|0|0|,86|264|28|,0|10|10|,0|0|0|
34,0|1|2|,86|254|18|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,86|254|18|,nan|nan|nan|,nan|nan|nan|,0|86|272|,0|0|0|,2604|86|272|,0|0|0|,278|86|31|,0|0|0|,0|0|0|,278|86|31|,0|0|0|,0|0|0|,273|86|30|,5|6|13|,0|0|0|
35,0|1|2|,268|80|17|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,268|80|17|,nan|nan|nan|,nan|nan|nan|,0|268|97|,0|0|0|,806|268|97|,0|0|0|,88|268|23|,0|0|0|,0|0|0|,88|268|23|,0|0|0|,0|0|0|,88|268|23|,3|14|9|,0|0|0|
36,0|1|2|,85|254|14|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,85|254|14|,nan|nan|nan|,nan|nan|nan|,0|85|268|,0|0|0|,2602|85|268|,0|0|0|,268|85|36|,0|0|0|,0|0|0|,268|85|36|,0|0|0|,0|0|0|,268|85|36|,3|1|13|,0|0|0|
37,0|1|2|,265|84|23|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,265|84|23|,nan|nan|nan|,nan|nan|nan|,0|265|107|,0|0|0|,865|265|107|,0|0|0|,87|265|31|,0|0|0|,0|0|0|,87|265|31|,0|0|0|,0|0|0|,87|265|31|,2|13|12|,0|0|0|
38,0|1|2|,85|252|19|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,85|252|19|,nan|nan|nan|,nan|nan|nan|,0|85|271|,0|0|0|,2096|85|271|,0|0|0|,263|85|44|,0|0|0|,0|0|0|,263|85|44|,0|0|0|,0|0|0|,260|85|44|,4|2|19|,0|0|0|
39,0|1|2|,256|83|25|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,256|83|25|,nan|nan|nan|,nan|nan|nan|,0|256|108|,0|0|0|,795|256|108|,0|0|0|,92|256|26|,0|0|0|,0|0|0|,92|256|26|,0|0|0|,0|0|0|,92|256|26|,3|13|13|,0|0|0|
