Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1142|560|298|,nan|nan|nan|,nan|nan|nan|,0|1142|858|,0|0|0|,4980|1142|858|,0|0|0|,1367|366|267|,0|0|0|,0|0|0|,1367|366|267|,0|0|0|,0|0|0|,1304|350|254|,32|17|100|,0|0|0|
1,0|1|2|,1272|333|154|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1272|333|154|,nan|nan|nan|,nan|nan|nan|,0|1272|487|,0|0|0|,3156|1272|487|,0|0|0|,1183|603|214|,0|0|0|,0|0|0|,1183|603|214|,0|0|0|,0|0|0|,1136|575|203|,32|25|91|,0|0|0|
2,0|1|2|,1104|550|112|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1104|550|112|,nan|nan|nan|,nan|nan|nan|,0|1104|662|,0|0|0|,5334|1104|662|,0|0|0|,1482|322|196|,0|0|0|,0|0|0|,1482|322|196|,0|0|0|,0|0|0|,1419|304|184|,25|14|70|,0|0|0|
3,0|1|2|,1394|290|114|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1394|290|114|,nan|nan|nan|,nan|nan|nan|,0|1394|404|,0|0|0|,2964|1394|404|,0|0|0|,1089|707|195|,0|0|0|,0|0|0|,1089|707|195|,0|0|0|,0|0|0|,1036|675|187|,17|44|77|,0|0|0|
4,0|1|2|,1019|631|110|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1019|631|110|,nan|nan|nan|,nan|nan|nan|,0|1019|741|,0|0|0|,5995|1019|741|,0|0|0|,1494|287|218|,0|0|0|,0|0|0|,1494|287|218|,0|0|0|,0|0|0|,1444|278|210|,20|8|76|,0|0|0|
5,0|1|2|,1424|270|134|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1424|270|134|,nan|nan|nan|,nan|nan|nan|,0|1424|404|,0|0|0|,2659|1424|404|,0|0|0|,1082|734|185|,0|0|0|,0|0|0|,1082|734|185|,0|0|0|,0|0|0|,1044|683|176|,21|30|77|,0|0|0|
6,0|1|2|,1023|653|99|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1023|653|99|,nan|nan|nan|,nan|nan|nan|,0|1023|752|,0|0|0|,5993|1023|752|,0|0|0|,1471|313|216|,0|0|0|,0|0|0|,1471|313|216|,0|0|0|,0|0|0|,1404|289|203|,20|16|73|,0|0|0|
7,0|1|2|,1384|273|130|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1384|273|130|,nan|nan|nan|,nan|nan|nan|,0|1384|403|,0|0|0|,2766|1384|403|,0|0|0|,1141|682|178|,0|0|0|,0|0|0|,1141|682|178|,0|0|0|,0|0|0|,1089|659|164|,25|27|72|,0|0|0|
8,0|1|2|,1064|632|92|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1064|632|92|,nan|nan|nan|,nan|nan|nan|,0|1064|724|,0|0|0|,5846|1064|724|,0|0|0|,1524|285|191|,0|0|0|,0|0|0|,1524|285|191|,0|0|0|,0|0|0|,1458|278|182|,28|25|81|,0|0|0|
9,0|1|2|,1430|253|101|,nan|nan|nan|,nan|nan|nan|,0.0|0.0|0.0|,1430|253|101|,nan|nan|nan|,nan|nan|nan|,0|1430|354|,0|0|0|,2376|1430|354|,0|0|0|,958|839|198|,0|0|0|,0|0|0|,958|839|198|,0|0|0|,0|0|0|,911|801|189|,13|42|74|,0|0|0|
