Year,1,2,3
0,32.90780141843971,42.695035460992905,24.397163120567374
1,24.775583482944345,50.62836624775583,24.59605026929982
2,34.5360824742268,47.42268041237113,18.04123711340206
3,42.90657439446367,26.643598615916954,30.44982698961938
4,34.52914798206278,46.63677130044843,18.83408071748879
5,38.25503355704698,35.57046979865772,26.174496644295303
6,30.357142857142854,50.0,19.642857142857142
7,16.883116883116884,53.246753246753244,29.87012987012987
8,16.666666666666664,58.333333333333336,25.0
9,0.0,100.0,0.0
