Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,300.0|100.0|100.0|100.0|,0.9166666666666666,300|100|100|100|,0.0|0.0|0.0|,0.0|0.0|0.0|,154|49|54|51|,146|51|46|49|,0|0|0|0|,0|0|0|0|,65|23|21|21|,64|23|18|23|,0|0|0|0|,0|0|0|0|,129,171,65,531|165|159|207|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,831|265|259|307|,531|165|159|207|,0|0|0|0|,0|0|0|0|,301|100|101|100|,0|0|0|0|,301|100|101|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,9.0|3.0|6.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,292|100|100|92|,17|5|5|7|,275|95|95|85|,4|4|4|4|,0.4999444444444444|0.4991|0.499575|0.49877499999999997|,0.51|0.55|0.455|0.525|,0.5033333333333333,0.49666666666666665,0.49333333333333335,0.5066666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300|100|100|100|,95|95|85|,0|0|0|,0|0|0|,0|0|0|,10|15|1|,0|0|0|,11,5,5,14,11,19
1,300.0|100.0|100.0|100.0|,0.9745454545454545,275|95|95|85|,0.0|0.0|0.0|,0.0|0.0|0.0|,133|48|44|41|,142|47|51|44|,0|0|0|0|,0|0|0|0|,48|13|22|13|,45|13|17|15|,0|0|0|0|,0|0|0|0|,93,182,48,508|181|252|75|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,783|276|347|160|,483|176|247|60|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,8.0|0|8.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,292|93|100|99|,24|7|11|6|,268|86|89|93|,4|4|4|4|,0.49994049586776856|0.49529085872576184|0.4944598337950138|0.49750865051903115|,0.52|0.5789473684210527|0.47368421052631576|0.5058823529411764|,0.5054545454545455,0.49454545454545457,0.5054545454545455,0.49454545454545457,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275|95|95|85|,86|89|93|,0|0|0|,0|0|0|,0|0|0|,7|17|7|,0|0|0|,6,1,3,14,14,10
2,300.0|100.0|100.0|100.0|,1.0149253731343284,268|86|89|93|,0.0|0.0|0.0|,0.0|0.0|0.0|,133|41|45|47|,135|45|44|46|,0|0|0|0|,0|0|0|0|,45|10|12|23|,47|14|13|20|,0|0|0|0|,0|0|0|0|,92,176,45,567|85|74|408|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,835|171|163|501|,535|71|63|401|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,8.0|0|8.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,292|97|100|95|,20|9|5|6|,272|88|95|89|,4|4|4|4|,0.4979254845177099|0.46697539210383987|0.4963072844337836|0.49525956758006706|,0.5410447761194029|0.5174418604651163|0.5112359550561798|0.5913978494623656|,0.47388059701492535,0.5261194029850746,0.5373134328358209,0.4626865671641791,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268|86|89|93|,88|95|89|,0|0|0|,0|0|0|,0|0|0|,6|20|7|,0|0|0|,2,1,1,10,20,11
3,300.0|100.0|100.0|100.0|,0.9632352941176471,272|88|95|89|,0.0|0.0|0.0|,0.0|0.0|0.0|,135|45|48|42|,137|43|47|47|,0|0|0|0|,0|0|0|0|,58|21|26|11|,52|26|18|8|,0|0|0|0|,0|0|0|0|,110,162,58,841|323|356|162|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1113|411|451|251|,813|311|351|151|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,16.0|0|16.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,284|92|100|92|,22|12|4|6|,262|80|96|86|,4|4|4|4|,0.4909946745242214|0.4575800619834711|0.49886426592797783|0.49614947607625304|,0.48713235294117646|0.5|0.4789473684210526|0.48314606741573035|,0.4117647058823529,0.5882352941176471,0.5349264705882353,0.4650735294117647,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272|88|95|89|,80|96|86|,0|0|0|,0|0|0|,0|0|0|,5|22|3|,0|0|0|,9,0,4,9,17,19
4,300.0|100.0|100.0|100.0|,1.0038167938931297,262|80|96|86|,0.0|0.0|0.0|,0.0|0.0|0.0|,120|38|42|40|,142|42|54|46|,0|0|0|0|,0|0|0|0|,25|8|7|10|,34|6|11|17|,0|0|0|0|,0|0|0|0|,59,203,25,269|60|25|184|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,531|140|121|270|,231|40|21|170|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,16.0|0|16.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,284|90|100|94|,21|8|8|5|,263|82|92|89|,4|4|4|4|,0.48790498805430915|0.4732421874999999|0.48779296875|0.4852623039480801|,0.5057251908396947|0.49375|0.5|0.5232558139534884|,0.4312977099236641,0.5687022900763359,0.5858778625954199,0.41412213740458015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262|80|96|86|,82|92|89|,0|0|0|,0|0|0|,0|0|0|,2|19|5|,0|0|0|,1,0,4,2,13,5
5,300.0|100.0|100.0|100.0|,1.0228136882129277,263|82|92|89|,0.0|0.0|0.0|,0.0|0.0|0.0|,113|34|38|41|,150|48|54|48|,0|0|0|0|,0|0|0|0|,57|19|27|11|,70|22|36|12|,0|0|0|0|,0|0|0|0|,127,136,57,975|233|579|163|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1238|315|671|252|,938|215|571|152|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,8.0|0|8.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,292|96|100|96|,23|7|8|8|,269|89|92|88|,4|4|4|4|,0.47471049169425605|0.47824955383700185|0.4834002835538752|0.45960106047216265|,0.4695817490494297|0.4817073170731707|0.43478260869565216|0.4943820224719101|,0.3593155893536122,0.6406844106463878,0.5741444866920152,0.42585551330798477,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263|82|92|89|,89|92|88|,0|0|0|,0|0|0|,0|0|0|,8|19|6|,0|0|0|,5,4,6,8,18,16
6,300.0|100.0|100.0|100.0|,0.9776951672862454,269|89|92|88|,0.0|0.0|0.0|,0.0|0.0|0.0|,130|46|42|42|,139|43|50|46|,0|0|0|0|,0|0|0|0|,29|10|6|13|,36|10|8|18|,0|0|0|0|,0|0|0|0|,65,204,29,406|93|100|213|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,675|182|192|301|,375|82|92|201|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,15.0|0|15.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,285|95|100|90|,22|7|9|6|,263|88|91|84|,4|4|4|4|,0.4770560108345655|0.43671884863022337|0.4940926275992439|0.4823088842975207|,0.5|0.42134831460674155|0.5217391304347826|0.5568181818181818|,0.4256505576208178,0.5743494423791822,0.6319702602230484,0.3680297397769517,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269|89|92|88|,88|91|84|,0|0|0|,0|0|0|,0|0|0|,3|18|6|,0|0|0|,2,0,8,6,12,1
7,300.0|100.0|100.0|100.0|,1.064638783269962,263|88|91|84|,0.0|0.0|0.0|,0.0|0.0|0.0|,142|49|47|46|,121|39|44|38|,0|0|0|0|,0|0|0|0|,51|20|18|13|,47|19|20|8|,0|0|0|0|,0|0|0|0|,98,165,51,784|352|267|165|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1047|440|358|249|,747|340|258|149|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,4.0|0|4.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,296|98|100|98|,16|5|4|7|,280|93|96|91|,4|4|4|4|,0.4549183882953346|0.4641980888429752|0.4512136215432919|0.4362244897959183|,0.47338403041825095|0.4943181818181818|0.45054945054945056|0.47619047619047616|,0.2965779467680608,0.7034220532319392,0.5608365019011406,0.4391634980988593,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263|88|91|84|,93|96|91|,0|0|0|,0|0|0|,0|0|0|,8|16|6|,0|0|0|,5,2,3,12,17,12
8,300.0|100.0|100.0|100.0|,1.0142857142857142,280|93|96|91|,0.0|0.0|0.0|,0.0|0.0|0.0|,128|47|42|39|,152|46|54|52|,0|0|0|0|,0|0|0|0|,34|12|9|13|,29|7|7|15|,0|0|0|0|,0|0|0|0|,63,217,34,372|23|180|169|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,652|116|276|260|,352|16|176|160|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,4.0|0|3.0|1.0|,0|0|0|0|,0|0|0|0|,0|0|0|,296|96|100|100|,12|5|4|3|,284|91|96|97|,4|4|4|4|,0.4849840561224489|0.4818476124407446|0.4884711371527778|0.47814273638449467|,0.5232142857142857|0.5591397849462365|0.4635416666666667|0.5494505494505495|,0.4160714285714286,0.5839285714285715,0.5892857142857143,0.4107142857142857,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280|93|96|91|,91|96|97|,0|0|0|,0|0|0|,0|0|0|,5|12|4|,0|0|0|,2,0,13,1,16,2
9,300.0|100.0|100.0|100.0|,0.9507042253521126,284|91|96|97|,0.0|0.0|0.0|,0.0|0.0|0.0|,144|44|51|49|,140|47|45|48|,0|0|0|0|,0|0|0|0|,65|38|17|10|,70|31|22|17|,0|0|0|0|,0|0|0|0|,135,149,65,1033|614|231|188|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1317|705|327|285|,1017|605|227|185|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,11.0|0|11.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,289|93|100|96|,19|6|6|7|,270|87|94|89|,4|4|4|4|,0.4434604989089467|0.42630720927424226|0.47555881076388895|0.41282282920607916|,0.4278169014084507|0.46703296703296704|0.453125|0.36597938144329895|,0.2869718309859155,0.7130281690140845,0.6056338028169014,0.39436619718309857,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284|91|96|97|,87|94|89|,0|0|0|,0|0|0|,0|0|0|,5|17|5|,0|0|0|,16,1,2,13,18,15
