Year,1,2,3
0,24.528301886792452,52.83018867924528,22.641509433962266
1,27.659574468085108,48.93617021276596,23.404255319148938
2,34.69387755102041,44.89795918367347,20.408163265306122
3,30.434782608695656,41.30434782608695,28.26086956521739
4,33.33333333333333,47.22222222222222,19.444444444444446
5,37.83783783783784,37.83783783783784,24.324324324324326
6,44.827586206896555,37.93103448275862,17.24137931034483
7,46.15384615384615,46.15384615384615,7.6923076923076925
8,84.375,9.375,6.25
9,100.0,0.0,0.0
