Year,1,2,3
0,30.045871559633024,47.935779816513765,22.018348623853214
1,22.064056939501782,48.39857651245551,29.537366548042705
2,33.480176211453745,52.42290748898678,14.096916299559473
3,33.793103448275865,51.724137931034484,14.482758620689657
4,38.52459016393443,45.90163934426229,15.573770491803279
5,25.333333333333336,50.66666666666667,24.0
6,27.27272727272727,50.0,22.727272727272727
7,39.473684210526315,50.0,10.526315789473683
8,24.242424242424242,57.57575757575758,18.181818181818183
9,100.0,0.0,0.0
