Year,1,2,3
0,28.186274509803923,48.28431372549019,23.52941176470588
1,25.09090909090909,48.36363636363637,26.545454545454543
2,37.08920187793427,52.112676056338024,10.7981220657277
3,26.76056338028169,51.40845070422535,21.830985915492956
4,38.93805309734513,46.017699115044245,15.04424778761062
5,30.136986301369863,50.68493150684932,19.17808219178082
6,27.419354838709676,50.0,22.58064516129032
7,35.13513513513514,48.64864864864865,16.216216216216218
8,19.35483870967742,61.29032258064516,19.35483870967742
9,0.0,0.0,100.0
