Year,1,2,3
0,23.68214004720692,47.28560188827694,29.03225806451613
1,8.152173913043478,45.108695652173914,46.73913043478261
2,32.38805970149254,53.13432835820896,14.477611940298507
3,27.970297029702973,50.0,22.02970297029703
4,29.97416020671835,51.162790697674424,18.863049095607234
5,32.17821782178218,50.0,17.82178217821782
6,15.841584158415841,50.0,34.15841584158416
7,33.663366336633665,50.495049504950494,15.841584158415841
8,34.65346534653465,49.504950495049506,15.841584158415841
9,0.0,100.0,0.0
