Year,1,2,3
0,30.545454545454547,47.090909090909086,22.363636363636363
1,20.0,46.95652173913044,33.04347826086956
2,33.67697594501718,53.95189003436426,12.371134020618557
3,30.05464480874317,50.81967213114754,19.12568306010929
4,32.278481012658226,47.46835443037975,20.253164556962027
5,22.58064516129032,50.53763440860215,26.881720430107524
6,32.55813953488372,50.0,17.441860465116278
7,44.680851063829785,48.93617021276596,6.382978723404255
8,16.27906976744186,55.81395348837209,27.906976744186046
9,0.0,0.0,100.0
