Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,300.0|100.0|100.0|100.0|,0.65,300|100|100|100|,0.0|0.0|0.0|,0.0|0.0|0.0|,162|48|53|61|,138|52|47|39|,0|0|0|0|,0|0|0|0|,71|19|22|30|,53|14|18|21|,0|0|0|0|,0|0|0|0|,124,176,71,1172|545|339|288|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,1472|645|439|388|,1172|545|339|288|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|62|100|38|,5|2|3|0|,195|60|97|38|,4|4|4|4|,0.4995277777777778|0.499|0.49839999999999995|0.49934999999999996|,0.51|0.48|0.48|0.57|,0.5183333333333333,0.4816666666666667,0.48833333333333334,0.5116666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300|100|100|100|,60|97|38|,0|0|0|,0|0|0|,0|0|0|,60|97|38|,0|0|0|,5,5,6,17,22,16
1,300.0|100.0|100.0|100.0|,0.9692307692307692,195|60|97|38|,0.0|0.0|0.0|,0.0|0.0|0.0|,86|24|46|16|,109|36|51|22|,0|0|0|0|,0|0|0|0|,15|3|11|1|,16|8|5|3|,0|0|0|0|,0|0|0|0|,31,164,15,200|51|149|0|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,395|111|246|38|,157|11|146|0|,0|0|0|0|,0|0|0|0|,238|100|100|38|,0|0|0|0|,238|100|100|38|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,38.0|0|38.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|48|100|52|,11|4|6|1|,189|44|94|51|,4|4|4|4|,0.4964168310322157|0.4952777777777777|0.4844829418641725|0.4873614958448753|,0.47435897435897434|0.5|0.4742268041237113|0.4342105263157895|,0.4564102564102564,0.5435897435897435,0.45897435897435895,0.541025641025641,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195|60|97|38|,44|94|51|,0|0|0|,0|0|0|,0|0|0|,44|94|51|,0|0|0|,1,0,3,5,4,2
2,300.0|100.0|100.0|100.0|,0.9841269841269841,189|44|94|51|,0.0|0.0|0.0|,0.0|0.0|0.0|,89|18|44|27|,100|26|50|24|,0|0|0|0|,0|0|0|0|,41|8|25|8|,55|12|33|10|,0|0|0|0|,0|0|0|0|,96,93,41,693|79|554|60|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,882|123|648|111|,582|23|548|11|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|51|100|49|,14|2|8|4|,186|49|92|45|,4|4|4|4|,0.4891100473111054|0.45803202479338845|0.49759506564056133|0.47654748173779315|,0.4444444444444444|0.4431818181818182|0.4946808510638298|0.35294117647058826|,0.41005291005291006,0.58994708994709,0.4470899470899471,0.5529100529100529,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189|44|94|51|,49|92|45|,0|0|0|,0|0|0|,0|0|0|,49|92|45|,0|0|0|,7,2,4,7,12,9
3,300.0|100.0|100.0|100.0|,1.0053763440860215,186|49|92|45|,0.0|0.0|0.0|,0.0|0.0|0.0|,95|27|45|23|,91|22|47|22|,0|0|0|0|,0|0|0|0|,21|5|14|2|,22|3|18|1|,0|0|0|0|,0|0|0|0|,43,143,21,235|75|145|15|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,421|124|237|60|,161|24|137|0|,0|0|0|0|,0|0|0|0|,260|100|100|60|,0|0|0|0|,260|100|100|60|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,60.0|0|60.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|46|100|54|,13|4|3|6|,187|42|97|48|,4|4|4|4|,0.47854520753844376|0.4936484798000833|0.4364071361058601|0.49691358024691357|,0.4650537634408602|0.5204081632653061|0.45108695652173914|0.43333333333333335|,0.40053763440860213,0.5994623655913979,0.3924731182795699,0.6075268817204301,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186|49|92|45|,42|97|48|,0|0|0|,0|0|0|,0|0|0|,42|97|48|,0|0|0|,2,1,2,3,8,5
4,300.0|100.0|100.0|100.0|,0.983957219251337,187|42|97|48|,0.0|0.0|0.0|,0.0|0.0|0.0|,99|21|57|21|,88|21|40|27|,0|0|0|0|,0|0|0|0|,47|8|35|4|,45|9|24|12|,0|0|0|0|,0|0|0|0|,92,95,47,791|141|569|81|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,978|183|666|129|,678|83|566|29|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|52|100|48|,16|2|11|3|,184|50|89|45|,4|4|4|4|,0.4946738539849581|0.4872448979591837|0.49973429694972893|0.4682074652777777|,0.5320855614973262|0.5714285714285714|0.5360824742268041|0.4895833333333333|,0.42780748663101603,0.5721925133689839,0.4893048128342246,0.5106951871657754,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187|42|97|48|,50|89|45|,0|0|0|,0|0|0|,0|0|0|,50|89|45|,0|0|0|,5,0,4,6,23,9
5,300.0|100.0|100.0|100.0|,1.0054347826086956,184|50|89|45|,0.0|0.0|0.0|,0.0|0.0|0.0|,87|24|45|18|,97|26|44|27|,0|0|0|0|,0|0|0|0|,19|3|12|4|,19|2|14|3|,0|0|0|0|,0|0|0|0|,38,146,19,431|87|239|105|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,615|137|328|150|,315|37|228|50|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|45|100|55|,15|2|9|4|,185|43|91|51|,4|4|4|4|,0.48111856096408323|0.47920000000000007|0.4644931195556117|0.4691358024691358|,0.49728260869565216|0.48|0.5|0.5111111111111111|,0.375,0.625,0.4429347826086957,0.5570652173913043,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184|50|89|45|,43|91|51|,0|0|0|,0|0|0|,0|0|0|,43|91|51|,0|0|0|,3,2,3,0,8,3
6,300.0|100.0|100.0|100.0|,1.0054054054054054,185|43|91|51|,0.0|0.0|0.0|,0.0|0.0|0.0|,94|24|48|22|,91|19|43|29|,0|0|0|0|,0|0|0|0|,21|5|10|6|,26|5|15|6|,0|0|0|0|,0|0|0|0|,47,138,21,277|64|117|96|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,462|107|208|147|,162|7|108|47|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|48|100|52|,14|2|7|5|,186|46|93|47|,4|4|4|4|,0.4799853907962017|0.41725256895619245|0.4980678661997344|0.41849288735101886|,0.5135135135135135|0.4418604651162791|0.5604395604395604|0.49019607843137253|,0.35945945945945945,0.6405405405405405,0.5162162162162162,0.4837837837837838,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185|43|91|51|,46|93|47|,0|0|0|,0|0|0|,0|0|0|,46|93|47|,0|0|0|,2,0,4,3,10,2
7,300.0|100.0|100.0|100.0|,1.0483870967741935,186|46|93|47|,0.0|0.0|0.0|,0.0|0.0|0.0|,99|24|52|23|,87|22|41|24|,0|0|0|0|,0|0|0|0|,34|8|19|7|,27|9|14|4|,0|0|0|0|,0|0|0|0|,61,125,34,551|136|369|46|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,737|182|462|93|,444|82|362|0|,0|0|0|0|,0|0|0|0|,293|100|100|93|,0|0|0|0|,293|100|100|93|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,93.0|0|93.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|55|100|45|,5|2|1|2|,195|53|99|43|,4|4|4|4|,0.47611718117701474|0.4905482041587902|0.45094808648398654|0.47532820280669974|,0.47043010752688175|0.5217391304347826|0.45698924731182794|0.44680851063829785|,0.34946236559139787,0.6505376344086021,0.5349462365591398,0.4650537634408602,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186|46|93|47|,53|99|43|,0|0|0|,0|0|0|,0|0|0|,53|99|43|,0|0|0|,3,0,3,4,17,7
8,300.0|100.0|100.0|100.0|,0.958974358974359,195|53|99|43|,0.0|0.0|0.0|,0.0|0.0|0.0|,88|25|46|17|,107|28|53|26|,0|0|0|0|,0|0|0|0|,29|7|19|3|,25|0|21|4|,0|0|0|0|,0|0|0|0|,54,141,29,593|94|383|116|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,788|147|482|159|,488|47|382|59|,0|0|0|0|,0|0|0|0|,300|100|100|100|,0|0|0|0|,300|100|100|100|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,100.0|0|100.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|50|100|50|,13|3|6|4|,187|47|94|46|,4|4|4|4|,0.47687705456936225|0.4848700605197579|0.4631415161718191|0.4864791779340184|,0.5051282051282051|0.49056603773584906|0.51010101010101|0.5116279069767442|,0.3487179487179487,0.6512820512820513,0.5153846153846153,0.4846153846153846,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195|53|99|43|,47|94|46|,0|0|0|,0|0|0|,0|0|0|,47|94|46|,0|0|0|,1,0,12,3,8,5
9,300.0|100.0|100.0|100.0|,1.0,187|47|94|46|,0.0|0.0|0.0|,0.0|0.0|0.0|,89|19|46|24|,98|28|48|22|,0|0|0|0|,0|0|0|0|,20|3|15|2|,26|3|19|4|,0|0|0|0|,0|0|0|0|,46,141,20,217|48|150|19|,0|0|0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,404|95|244|65|,144|0|144|0|,0|0|0|0|,0|0|0|0|,260|95|100|65|,0|0|0|0|,260|95|100|65|,0|0|0|,0|0|0|0|,0|0|0|0|,300.0|100.0|100.0|100.0|,60.0|0|60.0|0|,0|0|0|0|,0|0|0|0|,0|0|0|,200|54|100|46|,13|3|8|2|,187|51|92|44|,4|4|4|4|,0.4041865652435013|0.3420099592575825|0.44607288365776365|0.35586011342155|,0.39572192513368987|0.3191489361702128|0.4787234042553192|0.30434782608695654|,0.20855614973262032,0.7914438502673797,0.6042780748663101,0.39572192513368987,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187|47|94|46|,51|92|44|,0|0|0|,0|0|0|,0|0|0|,51|92|44|,0|0|0|,0,0,4,0,13,3
